Date,Hawthorn
18-Oct-05,-7.78
23-Oct-05,-7.52
28-Oct-05,-7.40
02-Nov-05,-7.19
07-Nov-05,-7.14
12-Nov-05,-7.10
17-Nov-05,-7.03
22-Nov-05,-6.94
27-Nov-05,-6.60
02-Dec-05,-6.32
07-Dec-05,-6.24
12-Dec-05,-6.14
17-Dec-05,-5.85
22-Dec-05,-5.77
27-Dec-05,-5.67
01-Jan-06,-5.54
06-Jan-06,-5.66
11-Jan-06,-5.59
16-Jan-06,-5.50
21-Jan-06,-5.55
26-Jan-06,-5.57
31-Jan-06,-5.48
05-Feb-06,-5.41
06-Apr-06,-4.40
11-Apr-06,-4.38
16-Apr-06,-4.25
21-Apr-06,-4.17
26-Apr-06,-4.11
01-May-06,-4.00
06-May-06,-4.01
11-May-06,-3.96
16-May-06,-3.82
21-May-06,-3.67
26-May-06,-3.71
31-May-06,-3.72
05-Jun-06,-3.71
10-Jun-06,-3.58
15-Jun-06,-3.47
20-Jun-06,-3.32
25-Jun-06,-3.32
30-Jun-06,-3.27
05-Jul-06,-3.09
10-Jul-06,-2.91
15-Jul-06,-2.84
20-Jul-06,-2.64
25-Jul-06,-2.48
30-Jul-06,-2.28
04-Aug-06,-2.22
09-Aug-06,-2.11
14-Aug-06,-2.04
19-Aug-06,-2.04
24-Aug-06,-2.05
29-Aug-06,-2.02
03-Sep-06,-1.98
08-Sep-06,-2.03
25-Sep-06,-2.55
01-Oct-06,-1.74
03-Oct-06,-1.71
05-Oct-06,-1.71
07-Oct-06,-1.66
09-Oct-06,-1.68
11-Oct-06,-1.65
13-Oct-06,-1.70
15-Oct-06,-1.73
17-Oct-06,-1.64
19-Oct-06,-1.52
21-Oct-06,-1.46
23-Oct-06,-1.45
25-Oct-06,-1.49
27-Oct-06,-1.54
29-Oct-06,-1.60
31-Oct-06,-1.55
02-Nov-06,-1.66
04-Nov-06,-1.67
06-Nov-06,-1.62
08-Nov-06,-1.55
10-Nov-06,-1.60
12-Nov-06,-1.51
14-Nov-06,-1.44
16-Nov-06,-1.39
18-Nov-06,-1.41
20-Nov-06,-1.42
22-Nov-06,-1.35
24-Nov-06,-1.30
26-Nov-06,-1.38
28-Nov-06,-1.44
30-Nov-06,-1.51
02-Dec-06,-1.44
04-Dec-06,-1.31
06-Dec-06,-1.34
08-Dec-06,-1.33
10-Dec-06,-1.53
12-Dec-06,-1.55
14-Dec-06,-1.54
16-Dec-06,-1.51
18-Dec-06,-1.55
20-Dec-06,-1.57
22-Dec-06,-1.56
24-Dec-06,-1.53
26-Dec-06,-1.47
28-Dec-06,-1.38
30-Dec-06,-1.26
01-Jan-07,-1.27
03-Jan-07,-1.28
05-Jan-07,-1.29
07-Jan-07,-1.25
09-Jan-07,-1.26
11-Jan-07,-1.32
13-Jan-07,-1.40
15-Jan-07,-1.46
17-Jan-07,-1.38
19-Jan-07,-1.43
21-Jan-07,-1.49
23-Jan-07,-1.56
25-Jan-07,-1.58
27-Jan-07,-1.59
29-Jan-07,-1.58
31-Jan-07,-1.54
02-Feb-07,-1.59
04-Feb-07,-1.52
06-Feb-07,-1.34
08-Feb-07,-1.23
10-Feb-07,-1.18
12-Feb-07,-1.13
14-Feb-07,-1.19
16-Feb-07,-1.21
18-Feb-07,-1.22
20-Feb-07,-1.15
22-Feb-07,-1.11
24-Feb-07,-1.06
26-Feb-07,-1.12
28-Feb-07,-0.98
02-Mar-07,-1.06
04-Mar-07,-1.07
06-Mar-07,-1.06
08-Mar-07,-1.19
10-Mar-07,-1.22
12-Mar-07,-1.20
14-Mar-07,-1.21
16-Mar-07,-1.10
18-Mar-07,-0.96
20-Mar-07,-1.04
22-Mar-07,-1.06
24-Mar-07,-1.08
26-Mar-07,-1.05
28-Mar-07,-0.99
30-Mar-07,-1.05
01-Apr-07,-1.12
03-Apr-07,-1.08
05-Apr-07,-1.07
07-Apr-07,-1.07
09-Apr-07,-1.04
11-Apr-07,-1.08
17-Apr-07,-1.05
16-May-07,-1.15
13-Jun-07,-0.95
03-Jul-07,-0.33199
04-Jul-07,-0.36702
05-Jul-07,-0.36408
06-Jul-07,-0.37
07-Jul-07,-0.41
