Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,WIN,SPR,SUM,AUT,ANN
1977,-1.2,0.1,2.3,2.3,4,6.5,9.8,9,7.5,7.6,1.4,2.5,-0.85,2.84,8.46,5.56,4.36
1978,-0.8,-1.9,2,1.8,5.6,7.8,8.7,9.9,9.1,7.9,4.2,0.8,0.03,3.13,8.81,7.11,4.64
1979,-3.4,-2.1,-0.3,2.2,3.4,8,9.5,8.6,7.5,7,2.1,1.3,-1.54,1.77,8.72,5.56,3.69
1980,-0.8,1.6,0.1,3.2,4.7,8.1,9,9.9,9.5,4.4,2.7,1.9,0.68,2.68,9.01,5.53,4.53
1981,0.9,0,2,2.1,5.9,7.8,9.5,9.8,8.7,2.5,3.5,-3.2,0.97,3.34,9.05,4.84,4.13
1982,-0.9,1.5,1,3.3,4.6,8.6,9.9,9.9,8,5.9,2.9,0.3,-0.95,2.96,9.48,5.6,4.6
1983,2.4,-1.3,2.6,1.1,4.9,7.8,11.1,10.5,7.9,5.6,3.5,2.5,0.52,2.88,9.8,5.67,4.93
1984,-1.1,0.8,0.9,2.6,4,8.5,9.7,10.1,7.8,5.8,3.7,2.2,0.74,2.5,9.45,5.78,4.6
1985,-2.3,-0.5,0.2,3.1,5.1,6.6,9.9,9.1,8.5,6.3,-0.6,2,-0.22,2.82,8.55,4.77,3.98
1986,-0.6,-2.9,0.7,0.7,5.6,7.9,9.5,7.5,5.8,6.1,3.3,1.6,-0.44,2.35,8.3,5.05,3.81
1987,-1.6,-0.7,-0.1,3.9,4.5,6.7,10,9.2,7.6,4.2,3.3,1.8,-0.2,2.75,8.65,5.01,4.09
1988,0.9,1.1,1.3,3.1,5.3,8.6,9.6,9.6,8.2,5.8,2.1,4.3,1.31,3.22,9.29,5.37,5.02
1989,3.8,1.7,1.4,1.5,5.6,7.3,10.3,10,7.7,6.9,2.6,-0.4,3.34,2.86,9.22,5.76,4.9
1990,2.5,2.3,3.9,2.5,5.8,7.9,9.9,10.9,7.1,7,2.4,0.9,1.46,4.09,9.55,5.51,5.28
1991,-0.3,-1.4,2.5,3.1,5.7,6.4,11.5,10.9,7.5,5.7,2.5,1.9,-0.24,3.79,9.62,5.22,4.71
1992,0.8,1.9,2.8,3.5,6.6,9.3,9.6,9,7.6,2.4,2.4,0.6,1.5,4.32,9.3,4.1,4.71
1993,1.4,3,1.9,4,5.2,8.8,9.2,8.3,6.7,3.1,0.8,0.2,1.6,3.68,8.74,3.56,4.38
1994,0.7,-0.5,1.8,2.3,4.3,7.8,10.1,9.2,7.1,5.3,6.1,2.1,0.14,2.81,9.07,6.15,4.72
1995,-0.1,1.3,0.2,3.2,5.2,7.8,10.9,11,7.8,7.9,3.7,-1.5,1.08,2.88,9.93,6.51,4.81
1996,2.7,-1.2,0.7,3.5,3.3,7.6,9.4,10.4,8.2,6.9,1,0.1,0.04,2.52,9.12,5.39,4.41
1997,0,1.6,3.3,3.9,5.1,7.8,10.2,11.6,7.8,5.3,5,2.4,0.52,4.1,9.88,6.03,5.34
1998,1.3,4.7,3,2.3,6.5,7.8,9.8,9.9,9.1,5,2.2,1.9,2.71,3.93,9.15,5.44,5.28
1999,1.3,1.2,2.2,4,6.8,7.4,10.5,9.6,9.8,6.4,3.4,0.2,1.47,4.32,9.18,6.53,5.25
2000,1.5,1.8,3.2,2.3,5.3,8,9.3,9.9,9.2,5.5,2.5,1.4,1.13,3.64,9.07,5.73,5.01
2001,-0.5,-0.3,-0.2,2.2,6,7.7,10.1,9.8,8.2,8.9,3.9,-0.2,0.24,2.67,9.2,7,4.65
2002,2.3,1.8,2.2,3.6,6.2,9.2,9.6,10.8,8.4,4.2,4.5,1.9,1.28,4.01,9.85,5.68,5.4
2003,0.5,-0.1,1.7,4.1,6.3,9.5,11.5,10.4,8.1,3.7,4.4,0.9,0.8,4.03,10.48,5.4,5.12
2004,1.7,0.4,1.7,4.6,6.2,9.2,9.7,11.6,9.2,5.3,4.4,2.2,1.01,4.13,10.18,6.3,5.52
2005,2.1,1,2.9,3.5,4.9,9.4,10.2,9.7,9.4,7.9,2.1,1.4,1.78,3.8,9.77,6.48,5.41
2006,1.2,0.8,0.2,2.4,5.4,8.9,11.3,10.1,10.3,7.7,4,2.9,1.13,2.7,10.11,7.36,5.47
2007,2.6,1.9,2.2,4.9,5.6,9.3,9.6,9.8,7.9,6.7,4.1,1.3,2.47,4.22,9.56,6.26,5.51
2008,1.8,1.4,1.2,2.7,7.2,7.9,11,11.1,8.4,4.7,2.9,-0.2,1.51,3.73,10.03,5.29,5.02
2009,0.5,0.9,2.1,4.4,5.9,8.6,10.6,10.8,9.3,6.7,3.6,-1.7,0.4,4.13,10.02,6.52,5.15
2010,-2,-2.2,0.7,3.1,4.6,9.1,10.7,9.2,8.7,5.4,0.6,-4.6,-1.98,2.78,9.68,4.91,3.64
2011,-0.2,1.7,1.3,5.2,6.4,7.6,8.9,9.5,9.4,7.7,5.5,1.6,-1.13,4.31,8.66,7.56,5.4
2012,1.7,2.4,3.9,1.8,5.1,7.9,9.6,10.5,7.9,3.5,2.6,0.7,1.88,3.63,9.38,4.65,4.81
2013,1.5,-0.3,-1,1.8,5,8,,,,,,,0.65,1.92,,,
Average,0.423076923,0.330769231,1.191346154,2.639423077,5.125,7.819230769,9.67184466,9.622330097,7.874757282,5.512621359,2.554368932,1.098058252,0.629805825,2.987211538,9.049514563,5.31631068,4.512621359
