Site	Measurement_location	Sub_Site_Number	Coal	Region	Easting	Northing	Type_of_site	Type_of_measurement	Start_Date	End_Date	Minimum_Temperature_(_C)	Average_Temperature__(_C)_	Maximum_Temperature_(_C)	Approx._Ave._Flow_Rate_(L/s)	Approx._Depth_to_water_(mBGL)	Approx._Depth_of_Sensor_(mBGL)	Ave._Iron_(Total)_(mg/L)	Ave._EC_(us/cm_25_'C)	Ave._Chloride_(mg/L)	Ave._Sulphate_(mg/L)	Ave._pH	Comments	File_location_link
Broken_Banks	Primary_Discharge	325.2	Y	North_East	419532	529584	Discharge	On_Site_Testing	1995	1995		10.9		140			2	1177			7		https://qjegh.lyellcollection.org/content/qjegh/28/Supplement_2/S101.full.pdf
Broomhill	Borehole	804.1	Y	North_East	424464	601079	Borehole	Water_Level_Logger	15-Jun-18	11-Jan-19	11.1	11.1	14.4									Data_taken_from_2/8/17_onwards_as_previous_data_contained_errors_	J:\Environment\Technical_Team\STS_Coal_Loggers\Broomhill_BH_L804
Cadley_Hill	Borehole	407.1	Y	South_Derbyshire	427952	319076	Borehole	Pumping_Test_(Raw_Pumped)	25-Dec-09	28-Jan-10	9.6	12.5	14.4				34	18431			7	Data_taken_from_"Raw_Pumped"_values	J:\Environment\Lee_Wyatt\Pumping_Tests\Cadley_Hill_Pumping_Test
Cairnhill	Discharge		Y	Scotland	262785	623410	Discharge	On_Site_Testing	1995	1995		17.9		0			7				8		\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Public_(Non_CA)_Data
Cameron	Dysart_Main_B/H	170.1	Y	Scotland	334610	699140	Shaft_	Water_Level_Logger_															
Cannock_Wood	Cascade		Y	West_Midlands_	403552	312589	Borehole	Temperature_Logger	24-May-16	08-Oct-16	11.5	15.7	19.7									Data_taken_from_24/07/2016_onwards_as_previous_data_contained_errors_	\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Temperature_loggers\Cannock_Wood_Cascade
Cannock_Wood	Monitoring_Borehole	682.1	Y	West_Midlands_	403552	312589	Pumped_Passive_	Logger_Data	22-Sep-17	11-Aug-19	16.0	17.1	17.1										\\infprod.tca\shared_folders\Environment\Technical_Team\STS_Coal_Loggers\Cannock_Wood_L682\682.10_Monitoring_Borehole
Caphouse	Hope_Shaft	39.1	Y	North_East	424864	416190	Pumped_Discharge	On_Site_Testing	2009	2009		14.2		76			43	2943			7		\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Public_(Non_CA)_Data
Carling_How	Shaft_Discharge	7.4	N	North_East	471140	519215	Shaft	On_Site_Testing	05-Oct-09	05-Oct-09		14.7		20			21				7		\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Public_(Non_CA)_Data
Carr_and_Craggs	Adit_Discharge	668.1	Y	North_West_	389162	425881	Adit_	On_Site_Testing	05-Nov-08	05-Nov-08		9.8		4							5		\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\On_Site_Spot_Readings
