Borehole name,Grid reference,Northing (Y),Easting (X),Depth,Temp,T grad,Type,Ref
Hetton Colliery,,546900,436000,335,15.6,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 123) 
Hetton Colliery,,546900,436000,329,14.7,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 140) 
Hetton Colliery,,546900,436000,387,15.3,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 140) 
South Hetton Colliery ,,545300,438300,551,25.0,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1903
South Hetton Colliery ,,545300,438300,465,22.2,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1902
South Hetton Colliery ,,545300,438300,369,18.9,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1901
South Hetton Colliery ,,545300,438300,544,24.4,,strata,Everett 1882 underground Tempretures 15th report of committee
South Hetton Colliery ,,545300,438300,530,23.6,,strata,Everett 1882 underground Tempretures 15th report of committee
South Hetton Colliery ,,545300,438300,553,23.9,,strata,Everett 1882 underground Tempretures 15th report of committee
South Hetton Colliery ,,545300,438300,498,22.2,,strata,Everett 1882 underground Tempretures 15th report of committee
South Hetton Colliery ,,545300,438300,435,20.4,,strata,Everett 1882 underground Tempretures 15th report of committee
South Hetton Colliery ,,545300,438300,467,21.1,,strata,Everett 1882 underground Tempretures 15th report of committee
South Hetton Colliery ,,545300,438300,403,18.9,,strata,Everett 1882 underground Tempretures 15th report of committee
Bowhill Colliery,,695670,321150,561,23.2,,strata,Graham 1921-22
Bowhill Colliery,,695670,321150,442,19.3,,strata,Graham 1921-22
Bowhill Colliery,,695670,321150,760,26.2,,strata,Graham 1921-22
Bowhill Colliery,,695670,321150,896,27.8,,strata,Graham 1921-22
Bowhill Colliery,,695670,321150,896,27.7,,strata,Graham 1921-22
Boldon Colliery ,,562300,434700,485,26.1,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1891
Boldon Colliery ,,562300,434700,438,23.9,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1890
North Seaton,,585951,428903,197,16.1,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1892
Boldon Colliery ,,562300,434700,482,26.1,,strata,Everett 1882 underground Tempretures 15th report of committee
Boldon Colliery ,,562300,434700,434,23.9,,strata,Everett 1882 underground Tempretures 15th report of committee
Killingworth,,570500,427200,382,23.3,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1889
Annesley,,353233,451745,454,22.8,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1923
Hucknall Torkard,,348079,452572,398,21.1,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1922
