DEPTH.M	:	0	Depth			
TEMP.DegC	:	1	Temperature			
CN25.mS/cm	:	2	Conductivity@25DegC			
COND.mS/cm	:	3	Conductivity			
DELT.DegC	:	4	Delta	T		
DELC.mS/cm	:	5	Delta	C		
NGAM.CPS	:	6	Natural	Gamma		

DEPTH	TEMP	CN25	COND	DELT	DELC	NGAM
46.51	10.05	9.23	0.76	0	1.09	12.53
46.52	10.05	9.23	0.76	0	1.09	12.53
46.53	10.05	9.23	0.76	0	1.09	12.53
46.54	10.04	9.23	0.76	0	-0.01	11.29
46.55	10.04	9.23	0.76	0	0	11.29
46.56	10.04	9.23	0.76	0	-0.01	11.71
46.57	10.04	9.23	0.76	-0.01	0	10.76
46.58	10.04	9.23	0.76	-0.01	0.01	9.82
46.59	10.04	9.23	0.76	-0.01	0.01	9.65
46.6	10.04	9.23	0.76	-0.01	0.01	9.12
46.61	10.04	9.23	0.76	-0.01	0.02	8.82
46.62	10.04	9.24	0.76	-0.02	0.02	8.82
46.63	10.04	9.24	0.76	-0.02	0.02	9.18
46.64	10.04	9.24	0.76	-0.02	0.02	9.24
46.65	10.04	9.24	0.76	-0.02	0.02	9.71
46.66	10.04	9.24	0.76	-0.02	0.02	10.12
46.67	10.04	9.24	0.76	-0.02	0.02	10.12
46.68	10.03	9.24	0.76	-0.03	0.02	9.06
46.69	10.04	9.24	0.76	-0.03	0.02	10
46.7	10.03	9.24	0.76	-0.03	0.03	10.41
46.71	10.04	9.24	0.76	-0.03	0.02	10.41
46.72	10.04	9.24	0.76	-0.03	0.02	11.24
46.73	10.04	9.24	0.76	-0.03	0.02	10
46.74	10.04	9.24	0.76	-0.02	0.02	10.41
46.75	10.04	9.24	0.76	-0.03	0.02	10.88
46.76	10.04	9.24	0.76	-0.03	0.02	10.24
46.77	10.04	9.24	0.76	-0.03	0.02	9.82
46.78	10.04	9.24	0.76	-0.02	0.02	9.35
46.79	10.04	9.24	0.76	-0.02	0.02	9.29
46.8	10.04	9.24	0.76	-0.02	0.02	9.41
46.81	10.04	9.24	0.76	-0.02	0.02	9.35
46.82	10.04	9.24	0.76	-0.02	0.02	8.88
46.83	10.04	9.24	0.76	-0.02	0.02	9.29
46.84	10.04	9.23	0.76	-0.01	0.01	8.29
46.85	10.04	9.23	0.76	-0.01	0.01	7.88
46.86	10.04	9.23	0.76	-0.02	0.01	7.35
46.87	10.04	9.23	0.76	-0.02	0.02	7.41
46.88	10.04	9.23	0.76	-0.02	0.02	8.24
46.89	10.04	9.23	0.76	-0.02	0.02	7.41
46.9	10.04	9.23	0.76	-0.02	0.02	7.82
46.91	10.04	9.23	0.76	-0.02	0.02	7.88
46.92	10.04	9.24	0.76	-0.02	0.02	7.41
46.93	10.04	9.24	0.76	-0.03	0.03	7
46.94	10.04	9.24	0.76	-0.03	0.03	7
46.95	10.04	9.24	0.76	-0.03	0.03	7
46.96	10.03	9.24	0.76	-0.04	0.03	7
46.97	10.03	9.24	0.76	-0.03	0.03	7.53
46.98	10.03	9.24	0.76	-0.03	0.03	7.59
46.99	10.03	9.24	0.76	-0.03	0.03	8.35
47	10.03	9.24	0.76	-0.03	0.03	7.53
47.01	10.03	9.25	0.76	-0.03	0.03	7.06
47.02	10.03	9.24	0.76	-0.03	0.03	8
47.03	10.03	9.24	0.76	-0.03	0.03	7.59
47.04	10.04	9.24	0.76	-0.03	0.03	7.53
47.05	10.04	9.24	0.76	-0.02	0.02	7.18
47.06	10.04	9.24	0.76	-0.02	0.02	7.65
47.07	10.04	9.24	0.76	-0.02	0.02	7.71
47.08	10.04	9.24	0.76	-0.02	0.02	7.71
47.09	10.04	9.24	0.76	-0.02	0.02	8.18
47.1	10.04	9.24	0.76	-0.02	0.02	8.71
47.11	10.04	9.24	0.76	-0.02	0.02	8.71
47.12	10.04	9.24	0.76	-0.01	0.02	9.47
47.13	10.04	9.24	0.76	-0.01	0.01	9.06
47.14	10.04	9.24	0.76	-0.01	0.01	8.06
47.15	10.03	9.24	0.76	-0.02	0.01	7.59
47.16	10.03	9.24	0.76	-0.02	0.01	7.29
47.17	10.03	9.24	0.76	-0.02	0.02	7.29
47.18	10.03	9.24	0.76	-0.02	0.02	8.24
47.19	10.03	9.24	0.76	-0.02	0.01	8.24
47.2	10.03	9.24	0.76	-0.02	0.01	8.71
47.21	10.03	9.24	0.76	-0.01	0.01	8.71
47.22	10.03	9.24	0.76	-0.01	0.01	8.71
47.23	10.03	9.24	0.76	-0.01	0.01	9.06
47.24	10.03	9.24	0.76	-0.01	0.02	9.06
47.25	10.03	9.24	0.76	-0.01	0.01	11
47.26	10.03	9.24	0.76	-0.01	0.01	10.94
47.27	10.03	9.24	0.76	-0.01	0.01	10.47
47.28	10.03	9.24	0.76	-0.01	0.01	10.88
47.29	10.03	9.25	0.76	-0.01	0.01	10.12
47.3	10.03	9.25	0.76	-0.01	0.01	10.94
47.31	10.03	9.25	0.76	-0.01	0.01	10.47
47.32	10.03	9.25	0.76	-0.01	0.01	10.47
47.33	10.03	9.25	0.76	-0.02	0.02	9.53
47.34	10.03	9.25	0.76	-0.02	0.02	9.53
47.35	10.03	9.25	0.76	-0.02	0.02	8.59
47.36	10.03	9.25	0.76	-0.02	0.02	7.65
47.37	10.03	9.25	0.76	-0.02	0.02	8.41
47.38	10.03	9.25	0.76	-0.02	0.02	8
47.39	10.03	9.24	0.76	-0.01	0.01	7.94
47.4	10.03	9.24	0.76	-0.01	0.01	7.12
47.41	10.03	9.24	0.76	-0.01	0.01	7.88
47.42	10.03	9.24	0.76	-0.01	0.01	5.94
47.43	10.03	9.24	0.76	-0.01	0.01	7.47
47.44	10.03	9.24	0.76	-0.01	0	7.41
47.45	10.04	9.24	0.76	0	0	7.94
47.46	10.04	9.24	0.76	0	0	7.88
47.47	10.04	9.24	0.76	0	0	7.06
47.48	10.04	9.24	0.76	-0.01	0	7.06
47.49	10.03	9.24	0.76	-0.01	0.01	7.53
47.5	10.03	9.24	0.76	-0.01	0.01	7.53
47.51	10.03	9.25	0.76	-0.01	0.01	7.53
47.52	10.03	9.24	0.76	-0.01	0.01	8
47.53	10.03	9.24	0.76	-0.01	0.01	8
47.54	10.03	9.25	0.76	-0.01	0.01	6.76
47.55	10.03	9.25	0.76	-0.01	0.02	7.18
47.56	10.03	9.25	0.76	-0.02	0.02	6.76
47.57	10.03	9.25	0.76	-0.02	0.02	7.24
47.58	10.03	9.25	0.76	-0.02	0.02	6
47.59	10.03	9.25	0.76	-0.02	0.02	5.53
47.6	10.03	9.25	0.76	-0.01	0.01	3.59
47.61	10.03	9.25	0.76	-0.01	0.01	3.65
47.62	10.03	9.24	0.76	-0.01	0.01	2.71
47.63	10.03	9.25	0.76	-0.01	0.01	2.76
47.64	10.03	9.25	0.76	-0.01	0.01	3.24
47.65	10.03	9.25	0.76	-0.01	0.01	3.65
47.66	10.03	9.25	0.76	-0.01	0.01	3.18
47.67	10.03	9.25	0.76	-0.01	0.01	3.18
47.68	10.03	9.25	0.76	-0.01	0.01	3.65
47.69	10.03	9.25	0.76	-0.01	0.01	4.65
47.7	10.03	9.25	0.76	-0.01	0.01	5.06
47.71	10.03	9.25	0.76	-0.01	0.01	6.53
47.72	10.03	9.25	0.76	-0.01	0.01	6.59
47.73	10.02	9.25	0.76	-0.01	0.01	7.41
47.74	10.02	9.25	0.76	-0.01	0.01	7.41
47.75	10.02	9.25	0.76	-0.01	0.01	7.41
47.76	10.02	9.25	0.76	-0.01	0.01	7.41
47.77	10.02	9.25	0.76	-0.02	0.01	8.35
47.78	10.02	9.25	0.76	-0.02	0.01	8.35
47.79	10.02	9.25	0.76	-0.01	0.01	8.35
47.8	10.02	9.25	0.76	-0.01	0.01	8.35
47.81	10.02	9.25	0.76	-0.02	0.01	7.88
47.82	10.02	9.25	0.76	-0.02	0.02	7.47
47.83	10.02	9.25	0.76	-0.02	0.02	7.47
47.84	10.02	9.25	0.76	-0.02	0.02	7.94
47.85	10.02	9.25	0.76	-0.02	0.02	7.94
47.86	10.02	9.25	0.76	-0.02	0.02	6.94
47.87	10.02	9.25	0.76	-0.02	0.02	7
47.88	10.02	9.25	0.76	-0.02	0.02	5.53
47.89	10.02	9.25	0.76	-0.02	0.02	5.06
47.9	10.02	9.26	0.77	-0.02	0.02	4.71
47.91	10.02	9.28	0.78	-0.02	0.05	4.24
47.92	10.02	9.31	0.8	-0.02	0.07	4.24
47.93	10.02	9.34	0.83	-0.02	0.1	4.24
47.94	10.02	9.4	0.87	-0.01	0.16	3.76
47.95	10.03	9.45	0.91	-0.01	0.21	3.71
47.96	10.04	9.5	0.95	0	0.26	4.18
47.97	10.05	9.54	0.98	0.02	0.3	4.18
47.98	10.07	9.58	1.02	0.04	0.33	4.18
47.99	10.1	9.61	1.06	0.07	0.36	4.18
48	10.13	9.63	1.1	0.1	0.39	4.65
48.01	10.17	9.65	1.14	0.14	0.4	4.59
48.02	10.22	9.63	1.16	0.19	0.39	5.06
48.03	10.28	9.61	1.19	0.24	0.37	4.59
48.04	10.33	9.57	1.2	0.3	0.33	4.12
48.05	10.4	9.51	1.2	0.36	0.28	4.53
48.06	10.46	9.45	1.2	0.42	0.21	4.53
48.07	10.53	9.38	1.2	0.49	0.14	4.06
48.08	10.6	9.32	1.2	0.56	0.08	4.88
48.09	10.66	9.25	1.2	0.62	0.01	4.88
48.1	10.73	9.19	1.2	0.69	-0.05	4.88
48.11	10.79	9.13	1.2	0.75	-0.11	4.41
48.12	10.84	9.07	1.2	0.81	-0.17	4
48.13	10.89	9.02	1.2	0.86	-0.22	3.94
48.14	10.95	8.97	1.2	0.91	-0.27	3.47
48.15	11	8.92	1.2	0.96	-0.32	3.47
48.16	11.05	8.87	1.2	1.02	-0.37	3.94
48.17	11.1	8.82	1.2	1.06	-0.42	3.47
48.18	11.14	8.78	1.2	1.11	-0.47	3.06
48.19	11.19	8.74	1.2	1.15	-0.51	2.53
48.2	11.23	8.7	1.2	1.2	-0.55	3
48.21	11.27	8.66	1.2	1.24	-0.59	3.41
48.22	11.31	8.61	1.2	1.28	-0.63	3
48.23	11.35	8.57	1.2	1.32	-0.67	3
48.24	11.39	8.53	1.2	1.35	-0.71	3
48.25	11.43	8.5	1.2	1.39	-0.74	2.65
48.26	11.46	8.46	1.2	1.43	-0.78	2.65
48.27	11.49	8.43	1.2	1.46	-0.81	2.65
48.28	11.53	8.4	1.2	1.5	-0.85	2.65
48.29	11.55	8.37	1.2	1.53	-0.88	2.65
48.3	11.58	8.34	1.2	1.55	-0.91	2.24
48.31	11.61	8.32	1.2	1.57	-0.93	2.24
48.32	11.63	8.29	1.2	1.6	-0.95	2.24
48.33	11.65	8.27	1.2	1.62	-0.98	1.76
48.34	11.67	8.25	1.2	1.64	-1	1.76
48.35	11.69	8.24	1.2	1.66	-1.01	1.76
48.36	11.71	8.22	1.2	1.68	-1.03	1.35
48.37	11.72	8.2	1.2	1.69	-1.04	0.88
48.38	11.73	8.19	1.2	1.7	-1.05	0.47
48.39	11.74	8.18	1.2	1.71	-1.06	0.47
48.4	11.75	8.17	1.2	1.72	-1.07	0.47
48.41	11.77	8.16	1.2	1.73	-1.08	0.47
48.42	11.78	8.15	1.2	1.74	-1.09	0
48.43	11.79	8.14	1.2	1.75	-1.1	0
48.44	11.8	8.13	1.2	1.76	-1.11	0
48.45	11.81	8.12	1.2	1.77	-1.11	0
48.46	11.81	8.11	1.2	1.78	-1.12	0
48.47	11.82	8.1	1.2	1.79	-1.14	0
48.48	11.83	8.09	1.2	1.8	-1.15	0
48.49	11.84	8.09	1.2	1.81	-1.15	0
48.5	11.85	8.08	1.2	1.82	-1.17	0
48.51	11.86	8.07	1.2	1.82	-1.18	0
48.52	11.86	8.06	1.2	1.83	-1.19	0
48.53	11.87	8.05	1.2	1.84	-1.19	0
48.54	11.88	8.05	1.2	1.85	-1.2	0
48.55	11.89	8.04	1.2	1.86	-1.21	0
48.56	11.89	8.03	1.2	1.87	-1.22	0
48.57	11.9	8.02	1.2	1.87	-1.23	0
48.58	11.91	8.02	1.2	1.88	-1.23	0
48.59	11.91	8.01	1.2	1.89	-1.24	0
48.6	11.92	8	1.2	1.89	-1.24	0
48.61	11.92	8	1.2	1.89	-1.24	0
48.62	11.93	8	1.2	1.9	-1.25	0
48.63	11.93	7.99	1.2	1.9	-1.25	0
48.64	11.93	7.99	1.2	1.91	-1.26	0
48.65	11.94	7.99	1.2	1.91	-1.26	0
48.66	11.94	7.99	1.2	1.91	-1.26	0
48.67	11.94	7.98	1.2	1.91	-1.26	0
48.68	11.94	7.99	1.2	1.91	-1.26	0
48.69	11.94	7.98	1.2	1.91	-1.27	0
