Site,Measurement location,Coal,Region,Easting,Northing,grid ref,Type of site,Type of measurement,Start Date,End Date,Minimum Temperature ( C),Average Temperature  ( C) ,Maximum Temperature ( C),Gradient,Approx. Ave. Flow Rate (L/s),Water level (mAOD),Approx. Depth to water (mBGL),Approx. Depth of Sensor (mBGL),Comments
Frances,Shaft,Y,Scotland,330986,693887,NT3098693887,Pumped Passive ,Logger Data,19-août-16,23-juil-18,14.0,14.2,14.5,,,1,47,,
Glenbuck,Discharge,Y,Scotland,234520,627652,NS3452027652,Gravity Discharge,On Site Testing,31-août-06,31-août-06,,10.4,,,,,,,Single on site reading
Graig Fawr (Celynen North),Shaft,,,321223,197453,ST2122397453,Shaft,Logger data,03/03/2009,28/04/2010,12.0,12.9,13.2,,47,1,47,,Temperature of mine water discharge at weir recorded
Hartington,Shaft Log,Y,East Midlands,443399,375377,SK4339975377,Shaft,ECT Log 2017,17-mai-17,17-mai-17,14.2,14.4,14.8,0.00,,,,,Range of log from 75.6mBGL to 228mBGL. Tmax at the bottom. Use Tmin = 14.23 at 77m and Tmax = 14.76 at 216.11 m. 
Hauxley,shaft,,North East,428326,603283,NU 28326 03283,,,,,,10.0,,,,,,,
Hawthorn,shaft,,North East,438895,545851,,,ECT Log 2000,,,,17.6,,,,,,,at 250m
Hawthorn,shaft,,North East,438895,545851,,,ECT Log 2003,,,,17.6,,,,,,,at 250m
Hawthorn,shaft,,North East,438895,545851,,,ECT Log 2005,,,,17.0,,,,,,,at 250m
Hawthorn,shaft,,North East,438895,545851,,,ECT Log 2006,,,,17.0,,,,,,,at 250m
Hawthorn,shaft,,North East,438895,545851,,,ECT Log 2008,,,,17.0,,,,,,,at 250m
Hawthorn,shaft,,North East,438895,545851,,,,,,,13.4,,,,1,118,,
High Hauxley,Borehole,,North East,428216,602433,NU 28225 02435,,,,,,10.2,,,,3,7,9.27,
Horden,Shaft Log,Y,North East,444225,541858,NZ4422541858,Pumped,ECT Log 2008,2008,2008,12.2,18.0,19.5,,,,,,Range of log from -15.50mAOD to -316.30mAOD
Horden,Shaft Log,Y,North East,444225,541858,NZ4422541858,Pumped,ECT Log 2006,2006,2006,16.2,17.2,19.0,,,,,,Range of log from-11.8mAOD to -342.64mAOD
Horden,Shaft Log,Y,North East,444225,541858,NZ4422541858,Pumped,ECT Log 2005,2005,2005,14.8,16.7,18.6,,,,,,Range of log from -13.55mAOD to -316.39mAOD
Horden,Shaft Log,Y,North East,444225,541858,NZ4422541858,Pumped,ECT Log 2004,2004,2004,13.9,16.0,17.0,,,,,,Range of log from -16.94mAOD to -313.59mAOD
Horden,Shaft Log,Y,North East,444225,541858,NZ4422541858,Pumped,ECT Log 12/2003,01-déc-03,01-déc-03,13.0,14.7,18.2,,,,,,Range of log from -16.44mAOD to -316.34mAOD
Horden,Shaft Log,Y,North East,444225,541858,NZ4422541858,Pumped,ECT Log 9/2003,01-sept-03,01-sept-03,10.8,13.8,18.1,,,,,,Range of log from -17.84mAOD to -317.44mAOD
