Scotland_N Maximum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
2000    6.4    6.0    8.0    8.4   13.6   13.8   15.5   16.4   14.5   10.9    6.9    5.5    5.60  10.02  15.23  10.77   10.51
2001    3.8    4.4    5.8    8.7   14.2   13.7   15.4   16.1   13.0   12.6    8.4    5.4    4.54   9.59  15.07  11.33   10.15
2002    7.1    5.7    7.7   10.7   13.3   15.1   15.3   16.8   15.1    9.5    8.3    5.4    6.05  10.58  15.75  10.96   10.86
2003    5.3    6.3    9.7   12.2   12.4   16.4   18.1   18.0   14.9    9.9    9.1    6.0    5.66  11.43  17.50  11.29   11.55
2004    5.5    5.9    7.9   10.3   13.4   14.6   15.8   17.4   14.5   10.0    8.3    7.4    5.81  10.53  15.92  10.91   10.93
2005    6.8    5.0    8.1    9.9   11.5   15.2   16.1   15.9   14.6   12.3    7.7    6.5    6.43   9.85  15.72  11.56   10.83
2006    6.2    5.8    4.9    8.7   12.5   16.2   19.3   15.7   16.5   12.4    8.3    7.0    6.16   8.69  17.06  12.38   11.14
2007    6.8    6.4    8.2   12.6   12.1   14.9   15.2   15.1   13.1   12.4    8.0    6.3    6.76  10.97  15.07  11.20   10.95
2008    5.8    7.5    6.2    9.0   15.0   14.4   17.2   16.2   14.1    9.9    7.3    5.1    6.50  10.06  15.97  10.40   10.65
2009    5.6    5.2    7.7   11.6   13.3   15.9   17.1   16.3   14.3   11.4    7.8    3.5    5.28  10.87  16.45  11.16   10.84
2010    3.1    3.2    7.0    9.9   11.9   15.8   15.7   15.3   14.0   10.8    5.2    1.8    3.30   9.61  15.61   9.99    9.51
2011    5.0    6.4    7.3   12.9   12.6   14.2   16.1   14.8   14.5   11.8   10.5    5.6    4.32  10.93  15.06  12.25   11.00
2012    5.5    7.2   10.2    8.0   12.6   13.4   14.8   16.8   12.7    9.0    7.0    4.6    6.11  10.31  15.03   9.56   10.18
2013    5.0    5.5    4.3    8.0   11.7   14.9   18.6   16.5   14.2   11.5    7.2    7.3    5.03   7.99  16.71  10.97   10.43
2014    5.6    6.0    8.3   11.1   12.9   15.8   18.2   15.2   15.4   11.5    8.8    5.8    6.28  10.75  16.42  11.90   11.24
2015    5.1    5.6    7.3   10.0   10.4   13.3   15.1   16.0   14.1   12.2    8.5    7.8    5.52   9.24  14.80  11.57   10.47
2016    5.3    4.9    7.7    8.1   13.4   15.3   15.5   16.5   15.4   11.7    6.5    8.6    5.99   9.75  15.75  11.19   10.75
2017    6.7    6.6    8.4    9.3   15.0   14.6   16.1   15.7   13.8   12.0    6.2    5.6    7.31  10.89  15.47  10.70   10.86
2018    4.3    4.4    5.0    9.9   15.1   16.8   18.4   15.6   13.0   10.8    8.8    6.6    4.80  10.00  16.96  10.88   10.78
2019    5.2    8.4    7.6   11.7   11.8   14.7   17.5   16.4   14.3   10.1    5.8           6.67  10.33  16.23  10.07
