Scotland_E Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1968   80.6   62.7   76.0   72.1  114.5   45.9  105.3   51.9  102.7  144.2   70.9   82.3   204.3  262.6  203.1  317.9  1009.1
1969  125.3   71.9   47.5   64.3  128.9   78.3   47.0   68.9   64.8   56.7  111.4   81.4   279.6  240.7  194.2  232.9   946.4
1970  123.1   95.2   55.0   66.2   46.9   60.1  113.4  111.0   97.6   95.8  132.4   58.5   299.7  168.1  284.6  325.8  1055.3
1971  107.3   50.4   74.9   48.2   64.4   56.0   87.6   77.7   33.1   84.3   84.8   64.3   216.2  187.4  221.3  202.2   832.9
1972  147.0   97.1   60.2   73.2   99.1   78.4   44.7   51.8   15.3   33.3   92.4   94.1   308.4  232.5  174.9  141.0   886.6
1973   68.5   40.1   31.1   65.0   77.5   52.4   78.5   68.4   58.2   58.3   78.0  103.7   202.7  173.6  199.2  194.5   779.6
1974  199.1   84.0   70.3   23.1   62.0   50.9   71.9   71.7   90.5   83.5  141.3  135.7   386.7  155.4  194.5  315.3  1084.0
1975  170.4   39.0   42.9   74.8   36.1   50.5   86.8   67.1  137.0   46.8   75.1   39.0   345.1  153.8  204.5  258.9   865.7
1976  109.9   56.6  107.0   38.5  105.0   33.1   50.4   23.3  138.9  191.5   80.3   96.0   205.6  250.4  106.8  410.6  1030.4
1977   94.2  123.9  107.7   71.5   60.4   68.5   45.0   89.0   95.7  127.3  128.5   78.2   314.1  239.7  202.5  351.5  1090.0
1978  123.4  105.7  114.9   62.5   40.0   49.7   82.8   94.9   99.3   41.3  117.2  191.1   307.3  217.4  227.5  257.8  1122.8
1979   73.6   24.6  133.3   77.6   88.8   51.6   70.5  108.4   53.5  131.5  116.7  148.9   289.3  299.7  230.5  301.7  1079.0
1980   95.1   87.4  110.4   11.7   25.3  113.3   82.7  102.4   90.5  113.8  124.4  120.7   331.4  147.3  298.4  328.8  1077.7
1981   78.8   58.0  118.7   22.4   70.4   70.7   70.5   20.6  171.6  146.4  119.8   76.8   257.5  211.5  161.7  437.8  1024.6
1982  108.9   74.5  106.1   31.9   63.8   56.7   39.6  103.3  139.7  188.6  144.2  131.2   260.3  201.8  199.7  472.6  1188.6
1983  135.8   49.7   89.7   72.7  119.5   67.7   23.8   27.2  129.5  127.8   29.0  143.4   316.6  281.9  118.6  286.3  1015.6
1984  174.3   75.3  120.8   22.3   26.9   53.8   43.3   29.3  120.7  133.1  250.3  107.6   393.1  170.0  126.3  504.1  1157.6
1985   82.0   22.8   83.0   84.4   72.3   87.2  138.3  174.5  150.9   44.3  110.2  139.6   212.3  239.8  400.0  305.4  1189.7
1986  135.8   35.5   88.6   76.8  133.8   59.1   62.4  107.7   31.2   88.1  125.0  185.2   310.9  299.2  229.2  244.3  1129.1
1987   60.9   60.4  107.6   69.8   55.0   98.7   88.2   89.7   84.2  128.9   72.3   90.0   306.6  232.3  276.5  285.4  1005.6
1988  153.5   85.6  108.7   71.8   57.7   21.8  165.6  117.9   94.9  146.8   74.7   61.6   329.1  238.2  305.4  316.4  1160.7
1989   91.3  130.7  119.9   48.3   45.4   55.5   24.6  114.0   61.4   97.7   37.7   71.8   283.6  213.6  194.1  196.8   898.2
1990  166.9  195.9  101.0   45.2   44.4  113.8   42.9   68.2   69.5  161.7   67.2  122.0   434.5  190.6  224.9  298.4  1198.7
1991  105.6   88.9   97.2   77.7   27.5  114.3   74.2   35.2   76.2  119.8  130.0   76.7   316.4  202.4  223.7  326.0  1023.3
1992   80.0   81.8  145.0   78.1   51.3   35.9   62.8  161.5  127.7   82.8  122.8   84.9   238.5  274.4  260.2  333.4  1114.7
1993  216.0   23.1   74.0  107.4  118.2   58.2   76.3   58.2   89.2  134.3   60.8  149.2   324.1  299.6  192.7  284.2  1164.9
1994  151.3  102.3  145.8   75.6   18.4   62.4   44.8   62.7   62.9   90.3  117.7  145.3   402.8  239.9  169.9  270.9  1079.6
1995  143.2  126.6   81.8   44.1   75.2   37.4   52.1   21.3  186.1  151.2  101.6   65.9   415.1  201.1  110.8  438.8  1086.4
1996   90.6  105.4   58.3   79.6   63.3   35.8   54.7   59.3   39.1  149.9  125.1   83.7   261.8  201.3  149.8  314.1   944.9
1997   29.7  176.7   71.3   32.1  111.7  123.7   62.8   52.0   60.4   50.8  146.8  135.1   290.1  215.0  238.4  258.0  1053.0
1998  116.3   73.2   78.2  135.0   53.8   93.1  126.2   77.1   95.1  166.5  127.5  106.4   324.6  267.1  296.5  389.1  1248.5
1999  141.7   74.2   70.2   79.7   85.7   93.1   59.9   47.9  134.8   80.5  116.2  176.9   322.3  235.6  200.9  331.5  1160.7
2000  108.3  107.3   69.1  125.7   62.8   58.2   52.2  104.8  146.3  158.2  151.5  150.0   392.5  257.5  215.2  455.9  1294.4
2001   74.0  108.7   86.9   62.5   26.1   64.7   82.7  103.9   79.6  179.5   85.2   76.0   332.7  175.5  251.3  344.3  1029.8
2002  153.3  172.1   83.9   54.1  105.0  110.3  137.8   99.8   36.7  207.3  184.3   99.4   401.3  243.0  347.8  428.3  1443.9
2003  118.2   39.1   54.3   56.9  106.8   51.1   62.1   25.3   49.4   54.0  111.9  115.0   256.8  217.9  138.5  215.2   844.0
2004  131.6   64.8   69.1  106.8   50.3  119.7   61.5  198.8   88.3  199.4   60.7   88.0   311.4  226.2  380.0  348.4  1239.0
2005  156.0   84.1   79.7  104.8   94.8   82.3   39.7   75.8   67.4  176.4  128.0   78.0   328.1  279.3  197.7  371.8  1166.8
2006   65.6   65.4  127.6   44.1   92.3   49.9   52.6   82.5  120.1  149.7  155.8  176.9   209.0  264.1  185.0  425.6  1182.5
2007  148.0  120.4   90.2   26.2  101.2  127.5  137.1  102.5   56.0   48.7  121.9   92.3   445.2  217.6  367.1  226.7  1172.1
2008  231.7   87.1  108.3   95.0   29.7   88.7  103.6  158.4   90.1  144.3   77.9   99.6   411.2  233.0  350.8  312.3  1314.5
2009  116.4   60.1   79.8   51.6   95.5   69.2  152.1  137.5   95.9  136.6  220.7   98.2   276.1  226.9  358.8  453.2  1313.6
2010   98.2   87.7   87.4   56.7   48.2   37.0  143.7   80.8  128.2  109.0  179.9   50.5   284.1  192.4  261.5  417.1  1107.4
2011   90.5  143.2   89.9   36.6  120.8   95.0  112.1  166.5  122.3  120.3  123.0  139.2   284.1  247.3  373.6  365.6  1359.4
2012   92.6   41.6   26.8  134.0   74.7  140.8  136.1  126.8   86.7  129.3  100.7  196.7   273.5  235.5  403.8  316.7  1287.0
2013  115.3   54.1   63.8   74.9   82.1   42.8   85.8   54.6   56.0  156.6   72.0  215.7   366.2  220.8  183.2  284.6  1073.7
2014  201.9  169.8   83.1   74.5   69.3   79.5   67.3  154.4   27.1  179.0  149.9  110.6   587.4  226.9  301.1  356.0  1366.4
2015  148.1   67.1   99.5   52.0  108.5   63.9  148.9   97.0   44.5   79.2  172.6  272.0   325.8  260.0  309.9  296.3  1353.4
2016  266.1   97.0   61.6   89.4   44.3  102.7  103.3   72.3   85.7   74.0   85.4   84.7   635.1  195.3  278.3  245.1  1166.4
2017   58.8  110.0   88.6   27.7   43.5  150.0   82.6  104.0  112.3   98.2   94.2   75.0   253.5  159.8  336.6  304.6  1044.9
2018  112.5   57.3  123.2   74.5   34.2   61.7   63.8   75.2  102.1  103.3  154.9   88.4   244.8  231.9  200.8  360.4  1051.2
2019   41.4   61.2  130.8   56.3  104.5   93.4  109.1  160.4  106.5  109.2  140.4          191.0  291.6  362.9  356.1
