summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":248249.29832359683,"y":664355.3510028278,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Specific Humidity (kg kg-1)
2006-02-17,0.0044355765
2006-02-18,0.0039335014
2006-02-19,0.0040163677
2006-02-20,0.0039757653
2006-02-21,0.0037005953
2006-02-22,0.003390746
2006-02-23,0.004402337
2006-02-24,0.004235956
2006-02-25,0.00343306
2006-02-26,0.003235549
2006-02-27,0.0039889333
2006-02-28,0.002976185
2006-03-01,0.0027222326
2006-03-02,0.0025512758
2006-03-03,0.002798222
2006-03-04,0.00303495
2006-03-05,0.0032046067
2006-03-06,0.0032068556
2006-03-07,0.0047317646
2006-03-08,0.005779695
2006-03-09,0.0048979106
2006-03-10,0.004721818
2006-03-11,0.0039834073
2006-03-12,0.0038064132
2006-03-13,0.004175138
2006-03-14,0.0047962875
2006-03-15,0.0038487287
2006-03-16,0.0034367004
2006-03-17,0.003607994
2006-03-18,0.0036954824
2006-03-19,0.004183169
2006-03-20,0.0036553182
2006-03-21,0.0027641775
2006-03-22,0.002906798
2006-03-23,0.003409147
2006-03-24,0.0041991747
2006-03-25,0.0057382523
2006-03-26,0.0069950935
2006-03-27,0.0071759224
2006-03-28,0.0055314936
2006-03-29,0.004177914
2006-03-30,0.005372834
2006-03-31,0.005596509
2006-04-01,0.0054134023
2006-04-02,0.0051405113
2006-04-03,0.004058472
2006-04-04,0.0029095227
2006-04-05,0.004150136
2006-04-06,0.004609097
2006-04-07,0.0041856505
2006-04-08,0.004027099
2006-04-09,0.0033059423
2006-04-10,0.0032939997
2006-04-11,0.0051503754
2006-04-12,0.0054686377
2006-04-13,0.0048541133
2006-04-14,0.004774382
2006-04-15,0.0050930246
2006-04-16,0.005028822
2006-04-17,0.0046424326
2006-04-18,0.004726493
2006-04-19,0.004639106
2006-04-20,0.0053372774
2006-04-21,0.0054164724
2006-04-22,0.0057252026
2006-04-23,0.0046392493
2006-04-24,0.0053395126
2006-04-25,0.0060596373
2006-04-26,0.0051296777
2006-04-27,0.0053657372
2006-04-28,0.00525068
2006-04-29,0.0051227817
2006-04-30,0.004957344
2006-05-01,0.0051192623
2006-05-02,0.0054741087
2006-05-03,0.0059785037
2006-05-04,0.007181519
2006-05-05,0.006204649
2006-05-06,0.0057884348
2006-05-07,0.0072514964
2006-05-08,0.006347125
2006-05-09,0.0063416054
2006-05-10,0.0052735843
2006-05-11,0.0061631226
2006-05-12,0.0062231054
2006-05-13,0.0047121793
2006-05-14,0.0056563024
2006-05-15,0.0073562595
2006-05-16,0.0076603
2006-05-17,0.00800281
2006-05-18,0.0070346403
2006-05-19,0.0071547655
2006-05-20,0.0064249304
2006-05-21,0.0052256663
2006-05-22,0.004715864
2006-05-23,0.0047440417
2006-05-24,0.004987846
2006-05-25,0.005078846
2006-05-26,0.006605797
2006-05-27,0.0068762647
2006-05-28,0.005831638
2006-05-29,0.005047491
2006-05-30,0.004545786
2006-05-31,0.0049955
2006-06-01,0.006775827
2006-06-02,0.0067635775
2006-06-03,0.007160761
2006-06-04,0.0070873015
2006-06-05,0.008036404
2006-06-06,0.00811956
2006-06-07,0.0083080605
2006-06-08,0.008274275
2006-06-09,0.008488219
2006-06-10,0.008477018
2006-06-11,0.008677908
2006-06-12,0.008142819
2006-06-13,0.006310058
2006-06-14,0.0069537875
2006-06-15,0.0074513545
2006-06-16,0.009205405
2006-06-17,0.0090254685
2006-06-18,0.00934026
2006-06-19,0.00846573
2006-06-20,0.0073280376
2006-06-21,0.0066110543
2006-06-22,0.007243626
2006-06-23,0.0071947947
2006-06-24,0.007129896
2006-06-25,0.0069389325
2006-06-26,0.0067750993
2006-06-27,0.00701068
2006-06-28,0.007734475
2006-06-29,0.00873751
2006-06-30,0.009341769
