summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Air Temperature (K)
2010-05-10,279.18222
2010-05-11,278.4133
2010-05-12,279.46982
2010-05-13,280.4147
2010-05-14,282.45242
2010-05-15,282.3023
2010-05-16,282.88565
2010-05-17,283.15253
2010-05-18,284.69977
2010-05-19,285.51578
2010-05-20,287.1164
2010-05-21,289.02103
2010-05-22,289.83417
2010-05-23,289.05972
2010-05-24,285.71613
2010-05-25,282.7288
2010-05-26,281.91504
2010-05-27,280.9671
2010-05-28,281.78378
2010-05-29,283.3225
2010-05-30,283.60873
2010-05-31,285.03098
2010-06-01,285.76004
2010-06-02,286.4342
2010-06-03,287.97644
2010-06-04,288.88098
2010-06-05,288.06876
2010-06-06,286.53784
2010-06-07,286.4305
2010-06-08,285.99457
2010-06-09,285.83698
2010-06-10,285.4335
2010-06-11,285.21844
2010-06-12,285.40344
2010-06-13,285.11066
2010-06-14,285.55588
2010-06-15,286.0703
2010-06-16,289.0822
2010-06-17,289.86017
2010-06-18,288.04178
2010-06-19,285.13235
2010-06-20,286.26248
2010-06-21,287.89905
2010-06-22,288.87372
2010-06-23,288.58136
2010-06-24,287.94272
2010-06-25,288.74512
2010-06-26,289.65707
2010-06-27,289.48737
2010-06-28,288.20642
2010-06-29,288.47412
2010-06-30,289.26608
