x,T,,,,,,
3.16E-01,1.10E-01,,,,,,
3.17E-01,1.07E-01,,,,,,
3.18E-01,1.03E-01,,,,,,
3.19E-01,9.90E-02,,,,,,
3.20E-01,9.54E-02,,,,,,
3.21E-01,9.20E-02,,,,,,
3.22E-01,8.86E-02,,,,,,
3.23E-01,8.54E-02,,,,,,
3.24E-01,8.23E-02,,,,,,
3.25E-01,7.93E-02,,,,,,
3.26E-01,7.64E-02,,,,,,
3.27E-01,7.36E-02,,,,,,
3.28E-01,7.09E-02,,,,,,
3.29E-01,6.82E-02,,,,,,
3.30E-01,6.57E-02,,,,,,
3.31E-01,6.33E-02,,,,,,
3.32E-01,6.09E-02,,,,,,
3.33E-01,5.86E-02,,,,,,
3.34E-01,5.64E-02,,,,,,
3.35E-01,5.43E-02,,,,,,
3.36E-01,5.23E-02,,,,,,
3.37E-01,5.03E-02,,,,,,
3.38E-01,4.84E-02,,,,,,
3.39E-01,4.66E-02,,,,,,
3.40E-01,4.48E-02,,,,,,
3.41E-01,4.31E-02,,,,,,
3.42E-01,4.14E-02,,,,,,
3.43E-01,3.98E-02,,,,,,
3.44E-01,3.83E-02,,,,,,
3.45E-01,3.68E-02,,,,,,
3.46E-01,3.54E-02,,,,,,
3.47E-01,3.40E-02,,,,,,
3.48E-01,3.27E-02,,,,,,
3.49E-01,3.14E-02,,,,,,
3.50E-01,3.02E-02,,,,,,
3.51E-01,2.90E-02,,,,,,
3.52E-01,2.79E-02,,,,,,
3.53E-01,2.68E-02,,,,,,
3.54E-01,2.57E-02,,,,,,
3.55E-01,2.47E-02,,,,,,
3.56E-01,2.38E-02,,,,,,
3.57E-01,2.28E-02,,,,,,
3.58E-01,2.19E-02,,,,,,
3.59E-01,2.10E-02,,,,,,
3.60E-01,2.02E-02,,,,,,
3.61E-01,1.94E-02,,,,,,
3.62E-01,1.86E-02,,,,,,
3.63E-01,1.79E-02,,,,,,
3.64E-01,1.71E-02,,,,,,
3.65E-01,1.64E-02,,,,,,
3.66E-01,1.58E-02,,,,,,
3.67E-01,1.51E-02,,,,,,
3.68E-01,1.45E-02,,,,,,
3.69E-01,1.39E-02,,,,,,
3.70E-01,1.33E-02,,,,,,
3.71E-01,1.28E-02,,,,,,
3.72E-01,1.23E-02,,,,,,
3.73E-01,1.18E-02,,,,,,
3.74E-01,1.13E-02,,,,,,
3.75E-01,1.08E-02,,,,,,
3.76E-01,1.04E-02,,,,,,
3.77E-01,9.93E-03,,,,,,
3.78E-01,9.52E-03,,,,,,
3.79E-01,9.12E-03,,,,,,
3.80E-01,8.74E-03,,,,,,
3.81E-01,8.37E-03,,,,,,
3.82E-01,8.02E-03,,,,,,
3.83E-01,7.68E-03,,,,,,
3.84E-01,7.36E-03,,,,,,
3.85E-01,7.04E-03,,,,,,
3.86E-01,6.74E-03,,,,,,
3.87E-01,6.46E-03,,,,,,
3.88E-01,6.18E-03,,,,,,
3.89E-01,5.92E-03,,,,,,
3.90E-01,5.66E-03,,,,,,
3.91E-01,5.42E-03,,,,,,
3.92E-01,5.19E-03,,,,,,
3.93E-01,4.96E-03,,,,,,
3.94E-01,4.75E-03,,,,,,
3.95E-01,4.54E-03,,,,,,
3.96E-01,4.34E-03,,,,,,
3.97E-01,4.15E-03,,,,,,
3.98E-01,3.97E-03,,,,,,
3.99E-01,3.80E-03,,,,,,
4.00E-01,3.63E-03,,,,,,
4.01E-01,3.47E-03,,,,,,
4.02E-01,3.32E-03,,,,,,
4.03E-01,3.17E-03,,,,,,
4.04E-01,3.03E-03,,,,,,
4.05E-01,2.90E-03,,,,,,
4.06E-01,2.77E-03,,,,,,
4.07E-01,2.65E-03,,,,,,
4.08E-01,2.53E-03,,,,,,
4.09E-01,2.41E-03,,,,,,
4.10E-01,2.31E-03,,,,,,
4.11E-01,2.20E-03,,,,,,
4.12E-01,2.10E-03,,,,,,
4.13E-01,2.01E-03,,,,,,
4.14E-01,1.92E-03,,,,,,
4.15E-01,1.83E-03,,,,,,
4.16E-01,1.75E-03,,,,,,
4.17E-01,1.67E-03,,,,,,
4.18E-01,1.59E-03,,,,,,
4.19E-01,1.52E-03,,,,,,
4.20E-01,1.45E-03,,,,,,
4.21E-01,1.38E-03,,,,,,
4.22E-01,1.32E-03,,,,,,
4.23E-01,1.26E-03,,,,,,
4.24E-01,1.20E-03,,,,,,
4.25E-01,1.14E-03,,,,,,
4.26E-01,1.09E-03,,,,,,
4.27E-01,1.04E-03,,,,,,
4.28E-01,9.92E-04,,,,,,
4.29E-01,9.46E-04,,,,,,
4.30E-01,9.02E-04,,,,,,
4.31E-01,8.60E-04,,,,,,
4.32E-01,8.19E-04,,,,,,
4.33E-01,7.81E-04,,,,,,
4.34E-01,7.44E-04,,,,,,
4.35E-01,7.09E-04,,,,,,
4.36E-01,6.75E-04,,,,,,
4.37E-01,6.43E-04,,,,,,
4.38E-01,6.12E-04,,,,,,
4.39E-01,5.83E-04,,,,,,
4.40E-01,5.55E-04,,,,,,
4.41E-01,5.29E-04,,,,,,
4.42E-01,5.03E-04,,,,,,
4.43E-01,4.79E-04,,,,,,
4.44E-01,4.56E-04,,,,,,
4.45E-01,4.34E-04,,,,,,
4.46E-01,4.13E-04,,,,,,
4.47E-01,3.93E-04,,,,,,
4.48E-01,3.74E-04,,,,,,
4.49E-01,3.56E-04,,,,,,
4.50E-01,3.38E-04,,,,,,
4.51E-01,3.22E-04,,,,,,
4.52E-01,3.06E-04,,,,,,
4.53E-01,2.91E-04,,,,,,
4.54E-01,2.77E-04,,,,,,
4.55E-01,2.63E-04,,,,,,
4.56E-01,2.50E-04,,,,,,
4.57E-01,2.38E-04,,,,,,
4.58E-01,2.26E-04,,,,,,
4.59E-01,2.15E-04,,,,,,
4.60E-01,2.04E-04,,,,,,
4.61E-01,1.94E-04,,,,,,
4.62E-01,1.84E-04,,,,,,
4.63E-01,1.75E-04,,,,,,
4.64E-01,1.66E-04,,,,,,
4.65E-01,1.58E-04,,,,,,
4.66E-01,1.50E-04,,,,,,
4.67E-01,1.42E-04,,,,,,
4.68E-01,1.35E-04,,,,,,
4.69E-01,1.28E-04,,,,,,
4.70E-01,1.22E-04,,,,,,
4.71E-01,1.16E-04,,,,,,
4.72E-01,1.10E-04,,,,,,
4.73E-01,1.04E-04,,,,,,
4.74E-01,9.89E-05,,,,,,
4.75E-01,9.38E-05,,,,,,
4.76E-01,8.90E-05,,,,,,
4.77E-01,8.44E-05,,,,,,
4.78E-01,8.01E-05,,,,,,
4.79E-01,7.60E-05,,,,,,
4.80E-01,7.20E-05,,,,,,
4.81E-01,6.83E-05,,,,,,
4.82E-01,6.48E-05,,,,,,
4.83E-01,6.14E-05,,,,,,
4.84E-01,5.82E-05,,,,,,
4.85E-01,5.52E-05,,,,,,
4.86E-01,5.23E-05,,,,,,
4.87E-01,4.95E-05,,,,,,
4.88E-01,4.69E-05,,,,,,
4.89E-01,4.45E-05,,,,,,
4.90E-01,4.21E-05,,,,,,
4.91E-01,3.99E-05,,,,,,
4.92E-01,3.78E-05,,,,,,
4.93E-01,3.58E-05,,,,,,
4.94E-01,3.39E-05,,,,,,
4.95E-01,3.21E-05,,,,,,
4.96E-01,3.04E-05,,,,,,
4.97E-01,2.88E-05,,,,,,
4.98E-01,2.72E-05,,,,,,
4.99E-01,2.58E-05,,,,,,
5.00E-01,2.44E-05,,,,,,
5.01E-01,2.31E-05,,,,,,
5.02E-01,2.18E-05,,,,,,
5.03E-01,2.07E-05,,,,,,
5.04E-01,1.95E-05,,,,,,
5.05E-01,1.85E-05,,,,,,
5.06E-01,1.75E-05,,,,,,
5.07E-01,1.65E-05,,,,,,
5.08E-01,1.56E-05,,,,,,
5.09E-01,1.48E-05,,,,,,
5.10E-01,1.40E-05,,,,,,
5.11E-01,1.32E-05,,,,,,
5.12E-01,1.25E-05,,,,,,
5.13E-01,1.18E-05,,,,,,
5.14E-01,1.11E-05,,,,,,
5.15E-01,1.05E-05,,,,,,
5.16E-01,9.95E-06,,,,,,
5.17E-01,9.40E-06,,,,,,
5.18E-01,8.88E-06,,,,,,
5.19E-01,8.39E-06,,,,,,
5.20E-01,7.92E-06,,,,,,
5.21E-01,7.48E-06,,,,,,
5.22E-01,7.06E-06,,,,,,
