x,T,,,
2.73E-01,2.12E-04,,,
2.74E-01,2.07E-04,,,
2.75E-01,2.01E-04,,,
2.76E-01,1.96E-04,,,
2.77E-01,1.91E-04,,,
2.78E-01,1.86E-04,,,
2.79E-01,1.81E-04,,,
2.80E-01,1.77E-04,,,
2.81E-01,1.72E-04,,,
2.82E-01,1.68E-04,,,
2.83E-01,1.63E-04,,,
2.84E-01,1.59E-04,,,
2.85E-01,1.55E-04,,,
2.86E-01,1.51E-04,,,
2.87E-01,1.47E-04,,,
2.88E-01,1.43E-04,,,
2.89E-01,1.39E-04,,,
2.90E-01,1.35E-04,,,
2.91E-01,1.31E-04,,,
2.92E-01,1.28E-04,,,
2.93E-01,1.24E-04,,,
2.94E-01,1.21E-04,,,
2.95E-01,1.18E-04,,,
2.96E-01,1.14E-04,,,
2.97E-01,1.11E-04,,,
2.98E-01,1.08E-04,,,
2.99E-01,1.05E-04,,,
3.00E-01,1.02E-04,,,
3.01E-01,9.92E-05,,,
3.02E-01,9.64E-05,,,
3.03E-01,9.36E-05,,,
3.04E-01,9.09E-05,,,
3.05E-01,8.83E-05,,,
3.06E-01,8.58E-05,,,
3.07E-01,8.33E-05,,,
3.08E-01,8.09E-05,,,
3.09E-01,7.85E-05,,,
3.10E-01,7.62E-05,,,
3.11E-01,7.40E-05,,,
3.12E-01,7.18E-05,,,
3.13E-01,6.96E-05,,,
3.14E-01,6.76E-05,,,
3.15E-01,6.56E-05,,,
3.16E-01,6.36E-05,,,
3.17E-01,6.17E-05,,,
3.18E-01,5.98E-05,,,
3.19E-01,5.80E-05,,,
3.20E-01,5.62E-05,,,
3.21E-01,5.45E-05,,,
3.22E-01,5.28E-05,,,
3.23E-01,5.12E-05,,,
3.24E-01,4.96E-05,,,
3.25E-01,4.81E-05,,,
3.26E-01,4.66E-05,,,
3.27E-01,4.51E-05,,,
3.28E-01,4.37E-05,,,
3.29E-01,4.23E-05,,,
3.30E-01,4.10E-05,,,
3.31E-01,3.97E-05,,,
3.32E-01,3.84E-05,,,
3.33E-01,3.72E-05,,,
3.34E-01,3.60E-05,,,
3.35E-01,3.49E-05,,,
3.36E-01,3.37E-05,,,
3.37E-01,3.27E-05,,,
3.38E-01,3.16E-05,,,
3.39E-01,3.06E-05,,,
3.40E-01,2.96E-05,,,
3.41E-01,2.86E-05,,,
3.42E-01,2.77E-05,,,
3.43E-01,2.67E-05,,,
3.44E-01,2.59E-05,,,
3.45E-01,2.50E-05,,,
3.46E-01,2.42E-05,,,
3.47E-01,2.33E-05,,,
3.48E-01,2.26E-05,,,
3.49E-01,2.18E-05,,,
3.50E-01,2.11E-05,,,
3.51E-01,2.04E-05,,,
3.52E-01,1.97E-05,,,
3.53E-01,1.90E-05,,,
3.54E-01,1.83E-05,,,
3.55E-01,1.77E-05,,,
3.56E-01,1.71E-05,,,
3.57E-01,1.65E-05,,,
3.58E-01,1.59E-05,,,
3.59E-01,1.54E-05,,,
3.60E-01,1.48E-05,,,
3.61E-01,1.43E-05,,,
3.62E-01,1.38E-05,,,
3.63E-01,1.33E-05,,,
3.64E-01,1.29E-05,,,
3.65E-01,1.24E-05,,,
3.66E-01,1.20E-05,,,
3.67E-01,1.15E-05,,,
3.68E-01,1.11E-05,,,
3.69E-01,1.07E-05,,,
3.70E-01,1.03E-05,,,
3.71E-01,9.96E-06,,,
3.72E-01,9.60E-06,,,
3.73E-01,9.25E-06,,,
3.74E-01,8.92E-06,,,
3.75E-01,8.59E-06,,,
3.76E-01,8.28E-06,,,
3.77E-01,7.97E-06,,,
3.78E-01,7.68E-06,,,
3.79E-01,7.39E-06,,,
3.80E-01,7.12E-06,,,
3.81E-01,6.85E-06,,,
3.82E-01,6.60E-06,,,
3.83E-01,6.35E-06,,,
3.84E-01,6.11E-06,,,
3.85E-01,5.88E-06,,,
3.86E-01,5.66E-06,,,
3.87E-01,5.45E-06,,,
3.88E-01,5.24E-06,,,
3.89E-01,5.04E-06,,,
3.90E-01,4.85E-06,,,
3.91E-01,4.66E-06,,,
3.92E-01,4.48E-06,,,
3.93E-01,4.31E-06,,,
3.94E-01,4.14E-06,,,
3.95E-01,3.98E-06,,,
3.96E-01,3.83E-06,,,
3.97E-01,3.68E-06,,,
3.98E-01,3.53E-06,,,
3.99E-01,3.40E-06,,,
4.00E-01,3.26E-06,,,
4.01E-01,3.13E-06,,,
4.02E-01,3.01E-06,,,
4.03E-01,2.89E-06,,,
4.04E-01,2.78E-06,,,
4.05E-01,2.67E-06,,,
4.06E-01,2.56E-06,,,
4.07E-01,2.46E-06,,,
