t,T
2.88E+02,6.11E-09
2.89E+02,6.49E-09
2.90E+02,6.90E-09
2.91E+02,7.33E-09
2.92E+02,7.78E-09
2.93E+02,8.26E-09
2.94E+02,8.76E-09
2.95E+02,9.29E-09
2.96E+02,9.85E-09
2.97E+02,1.04E-08
2.98E+02,1.10E-08
2.99E+02,1.17E-08
3.00E+02,1.24E-08
3.01E+02,1.31E-08
3.02E+02,1.38E-08
3.03E+02,1.46E-08
3.04E+02,1.54E-08
3.05E+02,1.63E-08
3.06E+02,1.72E-08
3.07E+02,1.82E-08
3.08E+02,1.92E-08
3.09E+02,2.02E-08
3.10E+02,2.13E-08
3.11E+02,2.24E-08
3.12E+02,2.36E-08
3.13E+02,2.49E-08
3.14E+02,2.62E-08
3.15E+02,2.76E-08
3.16E+02,2.90E-08
3.17E+02,3.05E-08
3.18E+02,3.20E-08
3.19E+02,3.37E-08
3.20E+02,3.54E-08
3.21E+02,3.71E-08
3.22E+02,3.90E-08
3.23E+02,4.09E-08
3.24E+02,4.29E-08
3.25E+02,4.50E-08
3.26E+02,4.72E-08
3.27E+02,4.94E-08
3.28E+02,5.18E-08
3.29E+02,5.42E-08
3.30E+02,5.68E-08
3.31E+02,5.94E-08
3.32E+02,6.22E-08
3.33E+02,6.51E-08
3.34E+02,6.81E-08
3.35E+02,7.12E-08
3.36E+02,7.44E-08
3.37E+02,7.77E-08
3.38E+02,8.12E-08
3.39E+02,8.48E-08
3.40E+02,8.85E-08
3.41E+02,9.24E-08
3.42E+02,9.64E-08
3.43E+02,1.01E-07
3.44E+02,1.05E-07
3.45E+02,1.09E-07
3.46E+02,1.14E-07
3.47E+02,1.19E-07
3.48E+02,1.24E-07
3.49E+02,1.29E-07
3.50E+02,1.34E-07
3.51E+02,1.40E-07
3.52E+02,1.45E-07
3.53E+02,1.51E-07
3.54E+02,1.57E-07
3.55E+02,1.64E-07
3.56E+02,1.70E-07
3.57E+02,1.77E-07
3.58E+02,1.84E-07
3.59E+02,1.91E-07
3.60E+02,1.99E-07
3.61E+02,2.06E-07
3.62E+02,2.14E-07
3.63E+02,2.22E-07
3.64E+02,2.31E-07
3.65E+02,2.39E-07
3.66E+02,2.48E-07
3.67E+02,2.58E-07
3.68E+02,2.67E-07
3.69E+02,2.77E-07
3.70E+02,2.87E-07
3.71E+02,2.97E-07
3.72E+02,3.08E-07
3.73E+02,3.19E-07
3.74E+02,3.31E-07
3.75E+02,3.42E-07
3.76E+02,3.54E-07
3.77E+02,3.67E-07
3.78E+02,3.80E-07
3.79E+02,3.93E-07
3.80E+02,4.06E-07
3.81E+02,4.20E-07
3.82E+02,4.35E-07
3.83E+02,4.49E-07
3.84E+02,4.64E-07
3.85E+02,4.80E-07
3.86E+02,4.96E-07
3.87E+02,5.12E-07
