t,T
3.23E+02,6.78E-05
3.24E+02,6.93E-05
3.25E+02,7.10E-05
3.26E+02,7.26E-05
3.27E+02,7.43E-05
3.28E+02,7.60E-05
3.29E+02,7.77E-05
3.30E+02,7.94E-05
3.31E+02,8.12E-05
3.32E+02,8.30E-05
3.33E+02,8.48E-05
3.34E+02,8.67E-05
3.35E+02,8.86E-05
3.36E+02,9.05E-05
3.37E+02,9.24E-05
3.38E+02,9.44E-05
3.39E+02,9.64E-05
3.40E+02,9.84E-05
3.41E+02,1.01E-04
3.42E+02,1.03E-04
3.43E+02,1.05E-04
3.44E+02,1.07E-04
3.45E+02,1.09E-04
3.46E+02,1.11E-04
3.47E+02,1.13E-04
3.48E+02,1.16E-04
3.49E+02,1.18E-04
3.50E+02,1.20E-04
3.51E+02,1.23E-04
3.52E+02,1.25E-04
3.53E+02,1.28E-04
3.54E+02,1.30E-04
3.55E+02,1.32E-04
3.56E+02,1.35E-04
3.57E+02,1.37E-04
3.58E+02,1.40E-04
3.59E+02,1.43E-04
3.60E+02,1.45E-04
3.61E+02,1.48E-04
3.62E+02,1.51E-04
3.63E+02,1.53E-04
3.64E+02,1.56E-04
3.65E+02,1.59E-04
3.66E+02,1.62E-04
3.67E+02,1.65E-04
3.68E+02,1.68E-04
3.69E+02,1.70E-04
3.70E+02,1.73E-04
3.71E+02,1.76E-04
3.72E+02,1.79E-04
3.73E+02,1.83E-04
3.74E+02,1.86E-04
3.75E+02,1.89E-04
3.76E+02,1.92E-04
3.77E+02,1.95E-04
3.78E+02,1.98E-04
3.79E+02,2.02E-04
3.80E+02,2.05E-04
3.81E+02,2.08E-04
3.82E+02,2.12E-04
3.83E+02,2.15E-04
3.84E+02,2.18E-04
3.85E+02,2.22E-04
3.86E+02,2.25E-04
3.87E+02,2.29E-04
3.88E+02,2.32E-04
3.89E+02,2.36E-04
3.90E+02,2.40E-04
3.91E+02,2.43E-04
3.92E+02,2.47E-04
3.93E+02,2.51E-04
3.94E+02,2.55E-04
3.95E+02,2.58E-04
3.96E+02,2.62E-04
3.97E+02,2.66E-04
3.98E+02,2.70E-04
3.99E+02,2.74E-04
4.00E+02,2.78E-04
4.01E+02,2.82E-04
4.02E+02,2.86E-04
4.03E+02,2.90E-04
4.04E+02,2.94E-04
4.05E+02,2.98E-04
4.06E+02,3.03E-04
4.07E+02,3.07E-04
4.08E+02,3.11E-04
4.09E+02,3.15E-04
4.10E+02,3.20E-04
4.11E+02,3.24E-04
4.12E+02,3.28E-04
4.13E+02,3.33E-04
4.14E+02,3.37E-04
4.15E+02,3.42E-04
4.16E+02,3.46E-04
4.17E+02,3.51E-04
4.18E+02,3.56E-04
4.19E+02,3.60E-04
4.20E+02,3.65E-04
4.21E+02,3.70E-04
4.22E+02,3.74E-04
4.23E+02,3.79E-04
4.24E+02,3.84E-04
4.25E+02,3.89E-04
4.26E+02,3.94E-04
