summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Longwave Radiation (W m-2)
2005-05-03,341.75925
2005-05-04,304.96112
2005-05-05,333.36725
2005-05-06,313.38412
2005-05-07,290.88806
2005-05-08,282.12256
2005-05-09,290.51065
2005-05-10,275.85663
2005-05-11,277.8085
2005-05-12,288.13556
2005-05-13,281.8083
2005-05-14,282.53952
2005-05-15,322.0532
2005-05-16,311.28604
2005-05-17,292.08566
2005-05-18,314.23605
2005-05-19,340.6675
2005-05-20,342.57068
2005-05-21,303.34467
2005-05-22,314.90097
2005-05-23,324.18604
2005-05-24,333.23984
2005-05-25,351.88104
2005-05-26,318.884
2005-05-27,343.8019
2005-05-28,345.70343
2005-05-29,312.3688
2005-05-30,300.60815
2005-05-31,296.3899
2005-06-01,346.6812
2005-06-02,355.20325
2005-06-03,340.40067
2005-06-04,343.7889
2005-06-05,346.3668
2005-06-06,298.45514
2005-06-07,325.634
2005-06-08,338.24292
2005-06-09,348.47067
2005-06-10,314.64465
2005-06-11,319.10782
2005-06-12,324.96283
2005-06-13,345.35864
2005-06-14,343.4109
2005-06-15,345.8417
2005-06-16,355.06546
2005-06-17,360.39355
2005-06-18,373.11346
2005-06-19,365.53607
2005-06-20,342.45325
2005-06-21,344.56274
2005-06-22,352.92392
2005-06-23,354.9027
2005-06-24,364.1754
2005-06-25,347.16132
2005-06-26,308.4515
2005-06-27,338.60883
2005-06-28,338.09033
2005-06-29,359.34668
2005-06-30,362.5418
