summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2011-04-15,1.3912172
2011-04-16,1.6521972
2011-04-17,2.510195
2011-04-18,1.6426655
2011-04-19,1.8667611
2011-04-20,2.1438863
2011-04-21,1.8961915
2011-04-22,2.4531271
2011-04-23,1.4182844
2011-04-24,2.1061745
2011-04-25,2.0112472
2011-04-26,2.3614044
2011-04-27,2.7156112
2011-04-28,2.7124453
2011-04-29,2.2404935
2011-04-30,3.7381866
2011-05-01,3.698793
2011-05-02,2.9501138
2011-05-03,2.882663
2011-05-04,3.1447723
2011-05-05,1.634382
2011-05-06,1.8668693
2011-05-07,1.8381081
2011-05-08,2.1901784
2011-05-09,2.8655143
2011-05-10,2.332997
2011-05-11,2.4838252
2011-05-12,2.4134133
2011-05-13,2.418105
2011-05-14,2.34264
2011-05-15,1.5860808
2011-05-16,1.7952142
2011-05-17,1.887562
2011-05-18,2.8448677
2011-05-19,3.014453
2011-05-20,2.7150779
2011-05-21,2.077795
2011-05-22,2.9447315
2011-05-23,2.4992619
2011-05-24,3.4417253
2011-05-25,1.9232122
2011-05-26,1.5628325
2011-05-27,2.2938442
2011-05-28,2.9049623
2011-05-29,3.1788435
2011-05-30,2.6690736
2011-05-31,3.166075
2011-06-01,2.1084387
2011-06-02,4.008611
2011-06-03,4.855037
2011-06-04,1.6290054
2011-06-05,1.8622677
2011-06-06,2.4612093
2011-06-07,1.8783762
2011-06-08,1.9545066
2011-06-09,2.7312372
2011-06-10,2.7799044
2011-06-11,1.4767319
2011-06-12,2.5610147
2011-06-13,1.9891196
2011-06-14,3.751767
2011-06-15,1.87779
2011-06-16,2.6906838
2011-06-17,2.1928167
2011-06-18,1.424096
2011-06-19,2.0788102
2011-06-20,2.5312047
2011-06-21,1.3621976
2011-06-22,1.6946793
2011-06-23,2.1334236
2011-06-24,2.5682302
2011-06-25,1.9251397
2011-06-26,2.0777545
2011-06-27,1.8385017
2011-06-28,3.5245252
2011-06-29,3.085225
2011-06-30,2.6890767
