Date,Silksworth
23-Jun-09,-64.23
24-Jun-09,-64.19
25-Jun-09,-64.16
26-Jun-09,-64.13
27-Jun-09,-64.11
28-Jun-09,-64.09
29-Jun-09,-64.09
30-Jun-09,-64.06
01-Jul-09,-64.05
02-Jul-09,-64.02
03-Jul-09,-63.98
04-Jul-09,-63.96
05-Jul-09,-63.93
06-Jul-09,-63.89
07-Jul-09,-63.89
08-Jul-09,-63.89
09-Jul-09,-63.87
10-Jul-09,-63.85
11-Jul-09,-63.82
12-Jul-09,-63.79
13-Jul-09,-63.78
14-Jul-09,-63.76
15-Jul-09,-63.76
16-Jul-09,-63.73
17-Jul-09,-63.65
18-Jul-09,-63.64
19-Jul-09,-63.63
20-Jul-09,-63.62
21-Jul-09,-63.57
22-Jul-09,-63.54
23-Jul-09,-63.54
24-Jul-09,-63.55
25-Jul-09,-63.55
26-Jul-09,-63.51
27-Jul-09,-63.50
28-Jul-09,-63.48
29-Jul-09,-63.45
30-Jul-09,-63.46
31-Jul-09,-63.43
01-Aug-09,-63.39
02-Aug-09,-63.39
03-Aug-09,-63.37
04-Aug-09,-63.36
05-Aug-09,-63.36
06-Aug-09,-63.34
07-Aug-09,-63.33
08-Aug-09,-63.31
09-Aug-09,-63.28
10-Aug-09,-63.26
11-Aug-09,-63.25
12-Aug-09,-63.23
13-Aug-09,-63.21
14-Aug-09,-63.17
15-Aug-09,-63.15
16-Aug-09,-63.14
17-Aug-09,-63.13
18-Aug-09,-63.12
19-Aug-09,-63.08
20-Aug-09,-63.06
21-Aug-09,-63.06
22-Aug-09,-63.04
23-Aug-09,-63.00
24-Aug-09,-62.97
25-Aug-09,-62.96
26-Aug-09,-62.93
27-Aug-09,-62.92
28-Aug-09,-62.91
29-Aug-09,-62.91
30-Aug-09,-62.87
31-Aug-09,-62.83
01-Sep-09,-62.81
02-Sep-09,-62.77
03-Sep-09,-62.75
04-Sep-09,-62.76
05-Sep-09,-62.77
06-Sep-09,-62.75
07-Sep-09,-62.72
08-Sep-09,-62.72
09-Sep-09,-62.75
10-Sep-09,-62.75
11-Sep-09,-62.72
12-Sep-09,-62.70
13-Sep-09,-62.67
14-Sep-09,-62.65
15-Sep-09,-62.63
16-Sep-09,-62.61
17-Sep-09,-62.58
18-Sep-09,-62.55
19-Sep-09,-62.53
20-Sep-09,-62.53
21-Sep-09,-62.49
22-Sep-09,-62.48
23-Sep-09,-62.48
24-Sep-09,-62.46
25-Sep-09,-62.45
26-Sep-09,-62.43
27-Sep-09,-62.41
28-Sep-09,-62.38
29-Sep-09,-62.36
30-Sep-09,-62.33
01-Oct-09,-62.32
02-Oct-09,-62.27
03-Oct-09,-62.24
04-Oct-09,-62.25
05-Oct-09,-62.22
06-Oct-09,-62.19
07-Oct-09,-62.19
08-Oct-09,-62.20
09-Oct-09,-62.16
10-Oct-09,-62.14
11-Oct-09,-62.14
12-Oct-09,-62.16
13-Oct-09,-62.14
14-Oct-09,-62.12
15-Oct-09,-62.11
16-Oct-09,-62.10
17-Oct-09,-62.06
18-Oct-09,-62.01
19-Oct-09,-61.96
20-Oct-09,-61.92
21-Oct-09,-61.89
22-Oct-09,-61.89
23-Oct-09,-61.89
24-Oct-09,-61.84
25-Oct-09,-61.84
26-Oct-09,-61.87
27-Oct-09,-61.83
28-Oct-09,-61.82
29-Oct-09,-61.82
30-Oct-09,-61.79
31-Oct-09,-61.77
01-Nov-09,-61.66
02-Nov-09,-61.65
03-Nov-09,-61.60
04-Nov-09,-61.60
05-Nov-09,-61.61
06-Nov-09,-61.58
07-Nov-09,-61.58
08-Nov-09,-61.60
09-Nov-09,-61.59
10-Nov-09,-61.55
11-Nov-09,-61.51
12-Nov-09,-61.47
13-Nov-09,-61.44
14-Nov-09,-61.43
15-Nov-09,-61.43
16-Nov-09,-61.39
17-Nov-09,-61.38
18-Nov-09,-61.37
19-Nov-09,-61.34
20-Nov-09,-61.36
21-Nov-09,-61.31
22-Nov-09,-61.26
23-Nov-09,-61.26
24-Nov-09,-61.23
25-Nov-09,-61.21
26-Nov-09,-61.20
27-Nov-09,-61.19
28-Nov-09,-61.17
29-Nov-09,-61.15
30-Nov-09,-61.17
01-Dec-09,-61.14
02-Dec-09,-61.10
03-Dec-09,-61.09
04-Dec-09,-61.08
05-Dec-09,-61.03
