Date,Chatershaugh_No1_Shaft
14-Nov-06,-7.50
21-Nov-06,-8.43
13-Dec-06,-8.58
05-Jan-07,-8.58
24-Jan-07,-8.10
26-Jan-07,-8.00
28-Jan-07,-7.89
30-Jan-07,-7.76
01-Feb-07,-7.72
03-Feb-07,-7.72
05-Feb-07,-7.56
07-Feb-07,-7.35
09-Feb-07,-7.22
11-Feb-07,-7.11
13-Feb-07,-6.99
15-Feb-07,-6.96
17-Feb-07,-6.97
19-Feb-07,-7.02
21-Feb-07,-6.96
23-Feb-07,-6.93
25-Feb-07,-6.92
27-Feb-07,-6.98
01-Mar-07,-6.87
03-Mar-07,-6.96
05-Mar-07,-6.95
07-Mar-07,-6.91
09-Mar-07,-7.01
11-Mar-07,-7.03
13-Mar-07,-6.99
15-Mar-07,-7.00
17-Mar-07,-6.92
19-Mar-07,-6.80
21-Mar-07,-6.89
23-Mar-07,-6.88
25-Mar-07,-6.88
27-Mar-07,-6.83
29-Mar-07,-6.77
31-Mar-07,-6.78
02-Apr-07,-6.79
04-Apr-07,-6.72
06-Apr-07,-6.65
08-Apr-07,-6.61
10-Apr-07,-6.52
12-Apr-07,-6.50
14-Apr-07,-6.44
16-Apr-07,-6.38
18-Apr-07,-6.31
20-Apr-07,-6.22
21-Apr-07,-6.19
23-Apr-07,-6.09
25-Apr-07,-6.00
27-Apr-07,-5.97
29-Apr-07,-5.90
01-May-07,-5.77
03-May-07,-5.67
05-May-07,-5.57
07-May-07,-5.42
09-May-07,-5.32
11-May-07,-5.21
13-May-07,-5.13
14-May-07,-5.10
16-May-07,-5.05
18-May-07,-4.95
20-May-07,-4.86
22-May-07,-4.83
24-May-07,-4.74
26-May-07,-4.74
28-May-07,-4.86
30-May-07,-4.94
01-Jun-07,-5.06
03-Jun-07,-5.18
05-Jun-07,-5.27
07-Jun-07,-5.31
09-Jun-07,-5.36
11-Jun-07,-5.42
13-Jun-07,-5.68
13-Jun-07,-5.45
15-Jun-07,-5.50
17-Jun-07,-5.55
19-Jun-07,-5.66
21-Jun-07,-5.71
23-Jun-07,-5.77
25-Jun-07,-5.82
27-Jun-07,-5.88
29-Jun-07,-5.93
01-Jul-07,-5.98
02-Jul-07,-6.00
03-Jul-07,-6.02
04-Jul-07,-6.07
05-Jul-07,-6.13
06-Jul-07,-6.13
07-Jul-07,-6.20
08-Jul-07,-6.25
09-Jul-07,-6.25
10-Jul-07,-6.28
11-Jul-07,-6.30
12-Jul-07,-6.31
13-Jul-07,-6.33
14-Jul-07,-6.34
15-Jul-07,-6.40
16-Jul-07,-6.41
17-Jul-07,-6.43
18-Jul-07,-6.48
19-Jul-07,-6.53
20-Jul-07,-6.55
21-Jul-07,-6.54
22-Jul-07,-6.54
23-Jul-07,-6.55
24-Jul-07,-6.59
25-Jul-07,-6.62
26-Jul-07,-6.60
27-Jul-07,-6.65
28-Jul-07,-6.70
29-Jul-07,-6.75
30-Jul-07,-6.80
31-Jul-07,-6.82
02-Aug-07,-6.82
04-Aug-07,-6.88
06-Aug-07,-6.89
08-Aug-07,-6.97
10-Aug-07,-7.00
12-Aug-07,-6.88
14-Aug-07,-6.78
16-Aug-07,-6.82
18-Aug-07,-6.92
20-Aug-07,-6.95
22-Aug-07,-7.05
24-Aug-07,-7.09
26-Aug-07,-7.14
28-Aug-07,-7.18
30-Aug-07,-7.19
01-Sep-07,-7.22
03-Sep-07,-7.26
05-Sep-07,-7.36
07-Sep-07,-7.41
09-Sep-07,-7.42
11-Sep-07,-7.44
13-Sep-07,-7.50
15-Sep-07,-7.52
17-Sep-07,-7.52
19-Sep-07,-7.61
21-Sep-07,-7.62
23-Sep-07,-7.68
25-Sep-07,-7.69
27-Sep-07,-7.83
29-Sep-07,-7.84
01-Oct-07,-7.89
03-Oct-07,-7.92
05-Oct-07,-7.96
07-Oct-07,-8.01
09-Oct-07,-8.05
11-Oct-07,-8.10
13-Oct-07,-8.13
15-Oct-07,-8.12
17-Oct-07,-8.16
19-Oct-07,-8.30
21-Oct-07,-8.33
02-Nov-07,-8.55
04-Nov-07,-8.58
06-Nov-07,-8.60
08-Nov-07,-8.60
10-Nov-07,-8.64
12-Nov-07,-8.70
14-Nov-07,-8.64
16-Nov-07,-8.63
18-Nov-07,-8.59
20-Nov-07,-8.60
22-Nov-07,-8.62
24-Nov-07,-8.75
26-Nov-07,-8.81
28-Nov-07,-8.80
30-Nov-07,-8.75
02-Dec-07,-8.74
04-Dec-07,-8.86
06-Dec-07,-8.88
08-Dec-07,-8.90
10-Dec-07,-8.96
12-Dec-07,-9.16
14-Dec-07,-9.20
16-Dec-07,-9.21
18-Dec-07,-9.25
20-Dec-07,-9.25
22-Dec-07,-9.21
24-Dec-07,-9.23
26-Dec-07,-9.24
28-Dec-07,-9.26
30-Dec-07,-9.31
02-Jan-08,-9.40
04-Jan-08,-9.36
06-Jan-08,-9.35
08-Jan-08,-9.42
10-Jan-08,-9.43
12-Jan-08,-9.48
14-Jan-08,-9.49
16-Jan-08,-9.49
18-Jan-08,-9.58
20-Jan-08,-9.68
22-Jan-08,-9.70
24-Jan-08,-9.73
26-Jan-08,-9.77
28-Jan-08,-9.81
30-Jan-08,-9.79
01-Feb-08,-9.67
03-Feb-08,-9.75
05-Feb-08,-9.74
07-Feb-08,-9.91
09-Feb-08,-9.95
11-Feb-08,-9.99
13-Feb-08,-10.01
15-Feb-08,-10.05
17-Feb-08,-10.05
19-Feb-08,-10.02
21-Feb-08,-9.97
23-Feb-08,-9.99
25-Feb-08,-10.01
27-Feb-08,-10.01
29-Feb-08,-10.07
02-Mar-08,-10.05
04-Mar-08,-10.15
06-Mar-08,-10.20
08-Mar-08,-10.11
10-Mar-08,-10.05
12-Mar-08,-10.09
14-Mar-08,-10.24
16-Mar-08,-10.27
18-Mar-08,-10.34
20-Mar-08,-10.32
22-Mar-08,-10.26
24-Mar-08,-10.30
26-Mar-08,-10.33
28-Mar-08,-10.32
30-Mar-08,-10.34
01-Apr-08,-10.43
03-Apr-08,-10.51
05-Apr-08,-10.49
07-Apr-08,-10.43
09-Apr-08,-10.43
11-Apr-08,-10.43
13-Apr-08,-10.49
15-Apr-08,-10.59
17-Apr-08,-10.59
19-Apr-08,-10.55
21-Apr-08,-10.58
23-Apr-08,-10.60
25-Apr-08,-10.64
27-Apr-08,-10.63
29-Apr-08,-10.57
01-May-08,-10.58
03-May-08,-10.71
05-May-08,-10.73
07-May-08,-10.75
09-May-08,-10.66
11-May-08,-10.69
13-May-08,-10.71
15-May-08,-10.70
17-May-08,-10.69
19-May-08,-10.73
21-May-08,-10.76
23-May-08,-10.76
25-May-08,-10.78
27-May-08,-10.79
29-May-08,-10.76
31-May-08,-10.80
02-Jun-08,-10.81
04-Jun-08,-10.83
06-Jun-08,-10.86
08-Jun-08,-10.89
10-Jun-08,-10.90
12-Jun-08,-10.90
14-Jun-08,-10.89
16-Jun-08,-10.89
18-Jun-08,-10.89
20-Jun-08,-10.92
22-Jun-08,-10.93
24-Jun-08,-10.99
26-Jun-08,-10.98
28-Jun-08,-10.99
30-Jun-08,-11.01
01-Jul-08,-11.02
03-Jul-08,-11.01
05-Jul-08,-11.01
07-Jul-08,-10.86
09-Jul-08,-10.81
11-Jul-08,-10.71
13-Jul-08,-10.65
15-Jul-08,-10.58
17-Jul-08,-10.46
19-Jul-08,-10.31
21-Jul-08,-10.26
23-Jul-08,-10.17
25-Jul-08,-10.03
27-Jul-08,-9.91
29-Jul-08,-9.89
31-Jul-08,-9.91
02-Aug-08,-9.88
04-Aug-08,-9.89
06-Aug-08,-9.91
08-Aug-08,-9.91
10-Aug-08,-9.88
12-Aug-08,-9.86
14-Aug-08,-9.90
16-Aug-08,-9.96
18-Aug-08,-9.92
20-Aug-08,-9.92
22-Aug-08,-9.98
24-Aug-08,-9.97
26-Aug-08,-9.97
28-Aug-08,-10.00
30-Aug-08,-10.01
01-Sep-08,-9.97
03-Sep-08,-9.90
05-Sep-08,-9.82
07-Sep-08,-9.74
09-Sep-08,-9.69
11-Sep-08,-9.55
13-Sep-08,-9.47
15-Sep-08,-9.41
17-Sep-08,-9.41
19-Sep-08,-9.38
21-Sep-08,-9.37
23-Sep-08,-9.36
25-Sep-08,-9.36
27-Sep-08,-9.35
29-Sep-08,-9.27
01-Oct-08,-9.14
02-Oct-08,-9.17
03-Oct-08,-9.23
04-Oct-08,-9.18
05-Oct-08,-9.17
06-Oct-08,-9.21
07-Oct-08,-9.16
08-Oct-08,-9.22
09-Oct-08,-9.27
10-Oct-08,-9.20
11-Oct-08,-9.14
12-Oct-08,-9.08
13-Oct-08,-8.99
