Borehole_name,Region,Grid_reference,X,Y,LAT,LON,Depth,Temp,T_grad,Type,Source,ROCK,gradient,COND,HEAT_FLUX,HF_+_CLIMATE,Source
Holme_Chapel_1,,SD_3608_2878,336080,428780,53.751449,-2.9708395,1973,60.0,25.9,BHT,,,,,,,
Kirkham,,SD_4324_3747,343240,437470,53.830376,-2.8638747,405,25.2,36.5,EQM,,SDST,37.2,1.96,71,,OXBURGH_AND_RICHARDSSON
Kirkham,,SD_4324_3747,343240,437470,53.830376,-2.8638747,427,21.8,26.7,LOG,,,,,,,
Beckermonds_Scar,,SD_8635_0016,386350,400160,53.497960,-2.2072345,522,18.0,16.3,LOG,,,,,70,,OXBURGH_AND_OTHERS_(1980)
Red_Knoll,,SD_87613195,387610,431950,53.783724,-2.1895191,227,14.0,21.1,BHT,,,,,,,
Saville_Farm,,SD_8781_3216,387810,432160,53.785617,-2.1864922,219,17.4,37.4,LOG,,,,,,,
RoseBridge_Coll,,SD_578_059,357800,405900,53.548028,-2.6383648,172,18.9,51.2,CFM,,,,,,,
RoseBridge_Coll,,SD_578_059,357800,405900,53.548028,-2.6383648,503,25.6,30.8,CFM,,,,,,,
RoseBridge_Coll,,SD_578_059,357800,405900,53.548028,-2.6383648,549,26.7,30.2,CFM,,,,,,,
RoseBridge_Coll,,SD_578_059,357800,405900,53.548028,-2.6383648,745,34.4,32.6,EQM,,SDST_/_SHAL,32.7,1.33,43,56,ANDERSON_(1940)
Farnham,,SE_3469_5996,434690,459960,54.034464,-1.4718489,622,16.4,19.3,LOG,,,,,,,
Rossington_B06,,SE_3684_0194,436840,401940,53.512857,-1.4459316,864,29.5,22.8,VST,,,,,,,
Brodsworth_P11,,SE_5210_0630,452100,406300,53.550755,-1.2151108,767,31.5,27.6,VST,,,,,,,
Brodsworth_T36,,SE_5630_0690,456300,406900,53.555715,-1.1516185,770,32.5,28.7,VST,,,,,,,
Brodsworth_P03,,SE_5480_0630,454800,406300,53.550481,-1.1743634,799,33.0,28.4,VST,,,,,,,
Brodsworth_B20,,SE_5230_0370,452300,403700,53.527368,-1.2125260,588,26.1,26.5,VST,,,,,,,
Brodsworth_B04,,SE_5111_0980,451110,409800,53.582308,-1.2294803,760,29.0,24.9,VST,,,,,,,
Markham_Main_B20,,SE_6472_0492,464720,404920,53.536952,-1.0249458,737,26.6,21.8,VST,,,,,,,
Markham_Main_B40,,SE_6353_0238,463530,402380,53.514269,-1.0434127,813,27.7,21.2,VST,,,,,,,
Frockley_D68,,SE_5100_1053,451000,410530,53.588880,-1.2310226,690,28.8,26.7,VST,,,,,,,
Kellingley,,SE_5095_2565,450950,425650,53.724773,-1.2293040,649,31.8,33.0,VST,,,,,,,
Kellingley,,SE_5330_2155,453300,421550,53.687692,-1.1943962,720,32.6,30.8,VST,,,,,,,
Peckfield,,SE_5082_3235,450820,432350,53.785000,-1.2301741,305,19.1,28.2,VST,,,,,,,
Fryston,,SE_4973_2633,449730,426330,53.731002,-1.2476829,595,29.0,31.3,VST,,,,,,,
Brodsworth_Coll,,SE_525_075,452500,407500,53.561500,-1.2088730,561,25.0,26.2,CFM,,,,,,,
Brodsworth_Coll,,SE_525_075,452500,407500,53.561500,-1.2088730,556,26.1,28.4,CFM,,,,,,,
Brodsworth_Coll,,SE_525_075,452500,407500,53.561500,-1.2088730,658,30.2,30.2,CFM,,,,,,,
Brodsworth_Coll,,SE_525_075,452500,407500,53.561500,-1.2088730,693,31.4,30.4,CFM,,,,,,,
Brodsworth_Coll,,SE_525_075,452500,407500,53.561500,-1.2088730,778,32.7,28.8,CFM,,,,,,,
Brodsworth_Coll,,SE_525_075,452500,407500,53.561500,-1.2088730,774,33.1,29.5,CFM,,,,,,,
Hatfield_Coll,,SE_653_112,465300,411200,53.593318,-1.0148856,739,31.9,29.0,CFM,,,,,,,
Hatfield_Coll,,SE_653_112,465300,411200,53.593318,-1.0148856,739,32.2,29.4,CFM,,,,,,,
Hatfield_Coll,,SE_653_112,465300,411200,53.593318,-1.0148856,700,29.9,27.7,CFM,,,,,,,
Hatfield_Coll,,SE_653_112,465300,411200,53.593318,-1.0148856,702,29.7,27.4,CFM,,,,,,,
Bentley_Colliery,,SE_570_075,457000,407500,53.561032,-1.1409440,551,23.6,23.8,CFM,,,,,,,
Bentley_Colliery,,SE_570_075,457000,407500,53.561032,-1.1409440,624,26.0,24.8,CFM,,,,,,,
Bentley_Colliery,,SE_570_075,457000,407500,53.561032,-1.1409440,661,27.6,25.9,CFM,,,,,,,
Bentley_Colliery,,SE_570_075,457000,407500,53.561032,-1.1409440,549,24.2,25.0,CFM,,,,,,,
Mochras,,SH_5533_2594,255330,325940,52.811542,-4.1478816,308,18.0,22.7,LOG,,MDST,18.9,3.01,54,,OXBURGH_AND_RICHARDSSON
Mochras,,SH_5533_2594,255330,325940,52.811542,-4.1478816,648,23.9,19.9,LOG,,,,,,,
Mochras,,SH_5533_2594,255330,325940,52.811542,-4.1478816,1152,31.4,17.7,LOG,,,,,,,
Mochras,,SH_5533_2594,255330,325940,52.811542,-4.1478816,1298,36.7,19.8,LOG,,,,,,,
Bryn_Teg,,SH_6992_3214,269920,332140,52.870964,-3.9340289,240,11.7,10.4,EQM,,SDST,10.9,4.23,44,,OXBURGH_AND_RICHARDSSON
Bryn_Teg,,SH_6992_3214,269920,332140,52.870964,-3.9340289,260,11.9,10.4,EQM,,SILT,,,,,
Bryn_Teg,,SH_6992_3214,269920,332140,52.870964,-3.9340289,280,12.1,10.4,EQM,,TUFF,,,,,
Bryn_Teg,,SH_6992_3214,269920,332140,52.870964,-3.9340289,300,12.4,10.7,EQM,,BASA,,,,,
Bryn_Teg,,SH_6992_3214,269920,332140,52.870964,-3.9340289,320,12.6,10.6,EQM,,,,,,,
Bryn_Teg,,SH_6992_3214,269920,332140,52.870964,-3.9340289,340,12.9,10.9,EQM,,,,,,,
Coed_Y_Drenin,,SH_747_258,274700,325800,52.815136,-3.8606170,449,15.5,12.5,EQM,,META,13.2,3.46,42,,OXBURGH_AND_RICHARDSSON
Milton_Green,,SJ_4374_5692,343740,356920,53.106490,-2.8418264,1054,33.9,21.8,BHT,,,,,,,
Milton_Green,,SJ_4374_5692,343740,356920,53.106490,-2.8418264,1584,40.0,18.4,BHT,,,,,,,
Knutsford,,SJ_7027_7786,370270,377860,53.296855,-2.4475159,3037,58.8,15.8,BHT,,,,,,,
Allotment,,SJ_9467_2679,394670,326790,52.838596,-2.0805668,1001,30.7,20.9,BHT,,,,,,,
Allotment,,SJ_9467_2679,394670,326790,52.838596,-2.0805668,1006,32.1,22.2,BHT,,,,,,,
Allotment,,SJ_9467_2679,394670,326790,52.838596,-2.0805668,1010,31.0,21.0,BHT,,,,,,,
Beacon,,SJ_9432_2477,394320,324770,52.820434,-2.0857268,902,26.7,18.6,BHT,,,,,,,
Berry_Hill,,SJ_9714_2195,397140,321950,52.795107,-2.0438554,777,28.0,23.2,BHT,,,,,,,
Bricklawn,,SJ_9766_2360,397660,323600,52.809942,-2.0361561,976,33.9,24.6,BHT,,,,,,,
Dans_Road,,SJ_353_451,335300,345100,52.999296,-2.9655007,1151,32.0,18.9,LOG,,,,,,,
Enson,,SJ_9434_2895,394340,328950,52.858010,-2.0855040,1007,33.2,23.0,LOG,,,,,,,
Fidlers,,SJ_7659_1334,376590,313340,52.717203,-2.3479963,900,27.4,19.8,LOG,,,,,,,
Fidlers,,SJ_7659_1334,376590,313340,52.717203,-2.3479963,914,27.5,19.6,BHT,,,,,,,
Hanyards,,SJ_9648_2425,396480,324250,52.815778,-2.0536690,843,25.4,18.4,LOG,,,,,,,
Kingston,,SJ_9473_2334,394730,323340,52.807583,-2.0796192,928,35.4,27.4,LOG,,,,,,,
Stonylow_No.1,,SJ_7905_4429,379050,344290,52.995522,-2.3135799,464,20.0,22.0,BHT,,,,,,,
Stonylow_No.1,,SJ_7905_4429,379050,344290,52.995522,-2.3135799,494,19.6,19.8,LOG,,,,,,,
Shallow_Croft_2,,SJ_8228_4341,382280,343410,52.987729,-2.2654087,1091,27.2,16.1,BHT,,,,,,,
Trent_Lane,,SJ_9855_2558,398550,325580,52.827744,-2.0229621,916,19.3,10.2,LOG,,,,,,,
Willow_Moor,,SJ_9642_2753,396420,327530,52.845263,-2.0545963,593,23.0,21.9,BHT,,,,,,,
Willow_Moor,,SJ_9642_2753,396420,327530,52.845263,-2.0545963,594,22.6,21.2,LOG,,,,,,,
Hopton_Pool,,SJ_95_26,395000,326000,52.831498,-2.0756556,500,17.5,14.0,VST,,,,,,,
Hopton_Pool,,SJ_95_26,395000,326000,52.831498,-2.0756556,786,29.1,23.7,VST,,,,,,,
