X,Y,Elevation,Distance
-147304.3302000016,7324636.984200001,69.6368999999977,4.295708700000003
-147292.31870000064,7324541.402800001,49.172300000005634,4.347587700000004
-147280.30710000172,7324445.8226,42.958499999993364,4.399466700000004
-147268.29560000077,7324350.243600003,47.1247000000003,4.451345700000005
-147256.28409999981,7324254.6657000035,38.72349999999278,4.503224700000006
-147244.2725000009,7324159.089000002,52.963199999998324,4.555103799999997
-147232.26099999994,7324063.513499998,58.27529999999388,4.606982799999998
-147220.24940000102,7323967.939199999,53.98510000000533,4.658861799999999
-147208.23800000176,7323872.365999997,55.136799999992945,4.7107408
-147196.2263999991,7323776.794,59.96809999999823,4.762619900000005
-147184.21489999816,7323681.223200001,61.006299999993644,4.814498900000006
-147172.20340000093,7323585.653499998,64.98410000000149,4.866377900000007
